"Year","Colombia","World"
1950,1.584855,2.378734
1951,1.566157,2.515504
1952,1.478863,2.502896
1953,1.539015,2.524970
1954,1.570716,2.527923
1955,1.583071,2.716614
1956,1.701677,2.835461
1957,1.699824,2.869636
1958,1.691409,2.891376
1959,1.867518,2.985590
1960,1.892732,3.112931
1961,1.804141,3.071906
1962,1.769030,3.120741
1963,1.958441,3.215595
1964,1.940742,3.315825
1965,2.119075,3.391959
1966,2.002710,3.484865
1967,1.974461,3.523155
1968,1.808032,3.640223
1969,2.073364,3.802135
1970,1.980577,4.032588
1971,1.958666,4.112597
1972,1.808383,4.219747
1973,1.739320,4.355556
1974,1.622166,4.253289
1975,1.517797,4.173319
1976,1.440053,4.310191
1977,1.388908,4.352449
1978,1.381312,4.432504
1979,1.387506,4.465701
1980,1.335147,4.364099
1981,1.392310,4.168842
1982,1.457587,4.060496
1983,1.563187,4.023942
1984,1.760107,4.068703
1985,1.990000,4.137420
1986,2.717251,4.122175
1987,3.411968,4.179654
1988,3.344685,4.262697
1989,3.721410,4.241189
1990,3.962599,4.266701
1991,3.778362,4.282473
1992,3.916004,4.090168
1993,3.881624,4.068620
1994,3.892645,4.047994
1995,4.602751,4.083544
1996,5.000334,4.148108
1997,5.313603,4.114970
1998,5.735437,4.044522
1999,5.780819,4.079117
2000,5.530883,4.133621
2001,5.520727,4.107635
2002,5.049099,4.144280
2003,5.518588,4.307030
2004,5.665553,4.399256
2005,5.957490,4.493561
2006,6.289272,4.585831
2007,6.474603,4.661509
2008,6.880297,4.682571
2009,7.093572,4.545518
2010,7.519791,4.744937
2011,8.526982,4.848876
2012,8.774612,4.854014
2013,8.763405,4.837742
2014,8.762379,4.804597
2015,8.597652,4.739116
2016,8.432427,4.682487
2017,8.212015,4.705259
2018,7.909637,4.752195
2019,7.871825,4.747814
2020,5.779663,4.457744
2021,5.945233,4.634748
2022,6.088534,4.678452
2023,6.138559,4.707772
2024,5.253696,4.729075
