"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2006,-7.998773,2.215678,-0.044415,-0.066623,-0.059692,
2007,-8.047177,2.215678,-0.047028,-0.070542,-0.063203,
2008,-8.095582,2.215678,-0.049641,-0.074461,-0.066714,
2009,-8.143987,2.215678,-0.052253,-0.077962,-0.070225,
2010,-8.195651,2.215678,-0.052253,-0.078380,-0.070225,
2011,-8.247966,2.215678,-0.052253,-0.078380,-0.070225,
2012,-8.298979,2.215678,-0.052253,-0.078380,-0.070225,
2013,-8.350643,2.215678,-0.052253,-0.078380,-0.070225,
2014,-8.405567,2.215678,-0.052253,-0.078380,-0.070225,
2015,-8.432775,2.215678,-0.052253,-0.078380,-0.070225,
2016,-8.505636,2.215678,-0.052253,-0.078380,-0.070225,
2017,-8.557300,2.215678,-0.052253,-0.078380,-0.070225,
2018,-8.608965,2.215678,-0.052253,-0.078380,-0.070225,
2019,-8.660629,2.215678,-0.052253,-0.078380,-0.070225,
2020,-8.712293,2.215678,-0.052253,-0.078380,-0.070225,
2021,-8.763957,2.215678,-0.052253,-0.078380,-0.070225,
2022,-8.814774,2.215678,-0.052253,-0.078380,-0.070225,
