"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1990,,,,-1.778865,-1.761566,-4.052894,-4.693246,-3.761138,-3.761138,-3.749321,-3.749321,-3.554708,-6.461343,-6.605849,-6.625586,-6.646974,-5.310083,-5.770813,-7.055423,-9.031200,-8.681892,-8.874529,-9.594351
1991,,,,-10.006497,-9.998610,-9.396515,-10.180057,-9.145390,-9.145390,-9.140066,-9.140066,-8.965192,-9.141832,-9.699847,-9.714107,-9.624258,-8.488741,-8.975980,-9.805469,-10.397923,-10.007026,-10.366564,-10.991275
1992,,-6.537468,,-9.694626,-9.560511,-11.251692,-11.973304,-10.900278,-10.900278,-10.893167,-10.893167,-10.690122,-9.735665,-10.196765,-10.205764,-10.450026,-9.339848,-9.658044,-10.384688,-10.459631,-10.146707,-10.574612,-11.088424
1993,,,,-8.922768,-8.800401,-10.025690,-10.601526,-9.557254,-9.557254,-9.551130,-9.551130,-9.250800,-9.272434,-9.801598,-9.816970,-10.096650,-8.945549,-9.294006,-10.423540,-11.157053,-10.777658,-11.407478,-11.975984
1994,-4.680811,,,-8.333906,-8.245635,-7.685609,-8.252983,-7.262771,-7.262771,-7.260661,-7.260661,-6.995661,-6.634178,-7.681624,-7.695966,-7.856190,-6.607517,-7.032779,-8.275461,-9.860587,-9.474649,-10.158457,-10.752004
1995,,,-4.250065,-7.810959,-7.766999,-7.642238,-8.315605,-7.322738,-7.322738,-7.321682,-7.321682,-7.040711,-6.828038,-8.149220,-8.165335,-8.274257,-7.068872,-7.471216,-8.637772,-10.118472,-9.759363,-10.416496,-11.013920
1996,,,,-10.850952,-10.625638,-8.106117,-8.785120,-7.760509,-7.760509,-7.760387,-7.760387,-7.498173,-7.271481,-8.531735,-8.546085,-8.423496,-7.274536,-7.865354,-8.695791,-9.930464,-9.513921,-10.158885,-10.788545
1997,,,,-5.354079,-4.965925,-7.128279,-7.849467,-6.808652,-6.808652,-6.808638,-6.808638,-6.586926,-6.254709,-7.628053,-7.639415,-7.759260,-6.628509,-6.927234,-7.635940,-8.960356,-8.579148,-9.134452,-9.754448
1998,,,,-3.627727,-3.496118,-7.145316,-8.169784,-7.129813,-7.129813,-7.129363,-7.129363,-6.898203,-6.513174,-7.751257,-7.765834,-7.723249,-6.692815,-7.007096,-7.720686,-8.650409,-8.246291,-8.762809,-9.501921
1999,,,,-4.872563,-4.833962,-7.145077,-8.302335,-7.276676,-7.276676,-7.276238,-7.276238,-7.033629,-6.599493,-8.021514,-8.038709,-8.077150,-7.118975,-7.230055,-7.971011,-8.799987,-8.468509,-8.972291,-9.631197
2000,,,,-6.880814,-6.837303,-7.459405,-8.679888,-7.656501,-7.656501,-7.635971,-7.635971,-7.384560,-7.240022,-8.911266,-8.928311,-8.823793,-7.962565,-8.117520,-8.830744,-9.462330,-9.243343,-9.716064,-10.328777
2001,-4.363040,,,-7.072962,-7.062756,-7.741618,-9.016478,-8.005189,-8.005189,-7.992950,-7.992950,-7.740310,-7.564282,-9.242091,-9.260880,-9.143600,-8.304079,-8.408237,-9.094802,-9.378482,-9.236901,-9.673532,-10.324409
2002,,-4.492209,,-6.165167,-6.143959,-7.563275,-8.791288,-7.767755,-7.767755,-7.754901,-7.754901,-7.473128,-7.470230,-8.881719,-8.902384,-8.775909,-7.941531,-8.037822,-8.799176,-9.119565,-9.010955,-9.469589,-10.128701
2003,,,,-5.749713,-5.602355,-5.939471,-6.896544,-5.895857,-5.895857,-5.892983,-5.892983,-5.580564,-5.889970,-7.416050,-7.435807,-7.330858,-6.452259,-6.557281,-7.617364,-8.547241,-8.423082,-8.985502,-9.712607
2004,,,,-4.870689,-4.830396,-6.081811,-7.343871,-6.327846,-6.327846,-6.321114,-6.321114,-6.053982,-6.272590,-7.922904,-7.943823,-7.723521,-6.614204,-7.018035,-7.809699,-8.326961,-8.237509,-8.687363,-9.437622
2005,,,,,-4.712466,-6.536355,-7.834613,-6.818596,-6.818596,-6.817466,-6.817466,-6.549489,-6.581796,-8.262316,-8.283503,-7.626841,-7.125659,-7.421608,-8.175730,-8.427800,-8.347920,-8.743499,-9.508240
2006,,,,,,-3.508553,-4.607439,-3.633358,-3.633358,-3.625947,-3.625947,-3.377054,-4.125543,-6.127545,-6.152343,-5.543162,-4.936303,-5.111378,-6.155656,-7.226025,-7.187420,-7.691739,-8.628482
2007,,,,,,,-1.919073,-0.937102,-0.937102,-0.933948,-0.933948,-0.654717,-1.439710,-3.960475,-3.995754,-3.404981,-2.702766,-2.875608,-4.688108,-6.646340,-6.641693,-7.460685,-8.416163
2008,,,,,,,,-4.943100,-4.943100,-4.937677,-4.937677,-4.595083,-4.954044,-7.068440,-7.098520,-6.481268,-5.943682,-6.101685,-7.563375,-7.935896,-7.950091,-8.705293,-9.419323
2009,,,,,,,,,-7.003431,-7.003396,-7.003396,-6.662943,-6.195870,-8.069618,-8.091728,-7.880089,-7.001373,-7.162664,-8.303082,-7.805536,-7.878173,-8.458776,-9.075002
2010,,,,,,,,,,-5.666116,-5.636070,-5.324672,-5.471728,-7.345282,-7.368349,-6.101872,-5.638715,-6.339755,-7.505582,-7.135247,-7.252497,-7.734369,-8.443734
2011,,,,,,,,,,,-8.026311,-7.078135,-7.076805,-8.455909,-8.466934,-7.287314,-6.900558,-7.320890,-8.637495,-7.404204,-7.566533,-8.345970,-9.025819
2012,,,,,,,,,,,,-7.322874,-7.123083,-8.626338,-8.636086,-7.119528,-6.744303,-7.487071,-8.928880,-7.528036,-7.745901,-8.572816,-9.269923
2013,,,,,,,,,,,,,-6.821565,-7.993950,-7.997853,-6.406369,-6.022809,-6.835730,-8.221995,-6.877306,-7.127113,-7.918602,-8.587587
2014,,,,,,,,,,,,,,-7.878155,-7.886708,-6.361200,-5.974475,-6.723899,-8.126650,-6.801555,-7.087036,-7.867152,-8.477051
2015,,,,,,,,,,,,,,,-6.735412,-6.590676,-5.140970,-5.871419,-7.398560,-6.734040,-7.020554,-7.866928,-8.533379
2016,,,,,,,,,,,,,,,,-5.397420,-5.218307,-4.708862,-6.188140,-5.817470,-6.131417,-6.956233,-7.649608
2017,,,,,,,,,,,,,,,,,-2.203498,-2.343354,-3.905826,-4.142345,-4.525657,-5.348954,-6.233198
2018,,,,,,,,,,,,,,,,,,5.753205,4.079222,1.367922,0.961494,-0.027571,-1.285604
2019,,,,,,,,,,,,,,,,,,,13.515281,8.186058,7.727833,6.475133,4.744306
2020,,,,,,,,,,,,,,,,,,,,12.719417,11.214380,9.681300,7.441247
2021,,,,,,,,,,,,,,,,,,,,,8.342098,6.572262,4.411489
2022,,,,,,,,,,,,,,,,,,,,,,3.344051,1.413106
2023,,,,,,,,,,,,,,,,,,,,,,,-3.577922
