"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,,,,165.059537,165.059537,163.864558,164.332384,164.336408,164.600535,165.096971,164.812746,164.694161,161.700154,161.668419,161.649591,164.227402,164.203582,164.204206,164.202710,164.210748,164.250436,164.250452,164.252302,164.337860
1991,,,,155.260764,155.260764,154.085373,154.381004,154.386331,154.264642,154.603522,154.306922,154.180332,146.084414,146.053740,146.035419,148.512476,148.893579,148.894127,148.892387,148.879301,148.883273,148.883282,148.886186,148.968855
1992,,139.789276,,140.160244,140.160243,139.624712,139.915724,139.922063,139.865511,140.227830,139.954471,139.816587,141.597751,141.572120,141.549390,144.074219,144.618055,144.619022,144.616942,145.710611,145.705799,145.705817,145.708174,145.781902
1993,,,,136.704265,136.704265,135.581891,135.854425,135.862936,135.841023,136.191464,135.893774,135.764451,135.616442,135.594966,135.570106,137.962667,138.636102,138.637288,138.634269,140.129093,140.124037,140.124103,140.126122,140.196893
1994,130.626290,,,131.241894,131.241894,126.471247,126.753534,126.763436,126.821989,127.173111,126.908550,126.754617,129.208129,129.195134,129.159534,131.532509,132.374360,132.376137,132.370351,132.673276,132.668036,132.668122,132.670149,132.733068
1995,,,131.398122,132.125079,132.125079,131.109591,131.395727,131.406918,131.511626,128.330302,128.037893,128.908974,129.784760,129.773566,129.736951,131.972061,131.605982,131.608260,131.600512,131.627143,131.622223,131.622318,131.623817,131.684622
1996,,,,133.862890,139.602535,138.359065,138.649820,138.661461,138.741661,132.829874,132.486964,133.235398,132.189646,132.240472,132.201919,134.648714,134.959565,134.962546,134.954556,135.004354,135.018672,135.018764,135.019225,135.082827
1997,,,,138.389334,132.710813,131.534979,131.833433,131.845618,131.871116,129.947071,129.595984,129.712823,128.537936,128.739039,128.839993,130.849714,130.729083,130.733067,130.725010,130.834167,130.941621,130.941740,130.942002,131.003254
1998,,,,129.187796,129.187796,123.994237,124.273187,124.288478,124.292711,123.551813,123.216892,123.157113,123.307541,123.702917,123.647029,125.125663,125.313442,125.317669,125.308969,125.427259,125.608818,125.715918,125.716775,125.771236
1999,,,,122.099125,122.099125,120.453875,120.729490,120.742974,120.711051,115.990158,115.636374,116.279354,114.947667,115.481660,115.416466,116.441582,116.618385,116.623428,116.614327,116.569943,116.671891,116.672033,116.668898,116.716531
2000,,,,129.016804,129.016804,126.755680,127.138187,127.151050,127.043155,126.052168,125.711077,126.129772,125.307130,125.848369,125.788184,126.896914,127.059682,127.066454,127.127423,127.155962,127.235987,127.236142,127.233493,127.287625
2001,127.996056,,,129.032689,129.032689,128.326689,128.718653,128.732309,128.674603,125.832749,125.466640,126.112570,124.967125,125.547936,125.486453,126.666373,126.952456,126.957555,127.024288,127.030014,127.144369,127.144516,127.165208,127.221061
2002,,123.047960,,124.040052,124.040052,124.582268,124.974151,124.993078,124.957193,122.473598,122.126154,123.171674,122.033466,122.599800,122.537795,123.598030,123.888604,123.895622,123.940088,123.946890,123.969963,123.967850,123.988122,124.040921
