"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-7.236833,-1.028697,-0.052243,-0.111601,0.019901
1991,-11.168134,-0.380608,0.178937,-0.032579,0.019901
1992,-12.605324,-0.178125,0.059064,-0.161429,0.019901
1993,-12.460326,-0.157400,-0.140752,-0.093921,0.019901
1994,-9.780077,-0.594074,-0.445115,-0.196110,0.019901
1995,-9.240715,-0.674804,-0.570185,-0.231873,0.019901
1996,-9.215840,-0.600608,-0.588409,-0.159758,0.019901
1997,-7.986431,-0.862311,-0.715254,-0.220866,0.019901
1998,-8.331125,-0.572505,-0.781251,-0.077676,0.019901
1999,-7.968789,-0.532891,-0.834341,-0.209740,0.019901
2000,-7.894215,-0.718292,-0.811076,-0.297706,0.019901
2001,-8.057466,-0.403160,-0.899270,-0.344155,0.019901
2002,-8.036585,-0.453193,-0.873836,-0.348852,0.019901
2003,-7.228716,-0.784508,-0.817224,-0.306249,0.019901
2004,-6.804674,-0.528497,-0.984301,-0.324512,0.019901
2005,-7.116926,-0.440015,-0.915942,-0.338960,0.019901
2006,-4.148125,-0.911173,-1.127381,-0.411478,0.019901
2007,-3.049067,-1.172666,-1.094054,-0.422127,0.019901
2008,-6.356110,-0.479279,-0.720169,-0.392685,0.019901
2009,-7.520557,-0.231386,-0.644123,-0.392078,0.019901
2010,-5.948025,-0.422237,-0.791609,-0.394970,0.019901
2011,-8.315327,-0.096568,-0.481811,-0.333622,0.019901
2012,-8.648560,-0.022790,-0.546598,-0.431549,0.019901
2013,-8.496179,-0.109186,-0.558666,-0.420836,0.019901
2014,-8.450592,-0.142957,-0.561401,-0.424473,0.019901
2015,-7.622851,-0.373629,-0.625063,-0.458695,0.019901
2016,-5.841591,-0.629943,-0.774071,-0.449897,0.019901
2017,-3.312001,-0.900621,-0.926339,-0.453805,0.019901
2018,5.044277,-2.113874,-1.598690,-0.568095,0.019901
2019,14.097884,-3.150212,-2.189116,-0.592792,0.019901
2020,18.337851,-3.220482,-2.145237,-0.602811,0.019901
2021,11.556584,-1.521798,-1.069662,-0.545190,0.022195
2022,5.343066,-0.243527,-0.265024,-0.528277,0.022195
2023,-3.322489,1.194977,0.541001,-0.517714,0.022215
2024,-4.032782,1.095016,0.516341,-0.530169,0.022090
