"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,3.639849,0.351731,5.964860
1991,3.452735,0.341850,5.276396
1992,4.385423,0.393818,4.656625
1993,4.355411,0.429501,4.366981
1994,5.162308,0.549003,4.302413
1995,5.348709,0.572350,3.357126
1996,6.009052,0.662153,2.815009
1997,6.112753,0.727317,2.614352
1998,6.497289,0.950393,3.331351
1999,6.941102,1.000851,3.077972
2000,7.025095,1.134704,3.040516
2001,7.371924,1.267761,3.429291
2002,7.719857,1.355039,3.588982
2003,8.798451,1.631614,4.016703
2004,9.101997,1.879424,4.241858
2005,9.545384,2.046507,4.955656
2006,9.480040,2.614261,4.793500
2007,9.813109,2.972217,4.985909
2008,9.696013,3.106784,4.759113
2009,9.647758,3.004050,4.339097
2010,9.055223,2.634056,4.310849
2011,9.094097,2.465600,4.288751
2012,9.016211,2.256702,4.370355
2013,9.048640,2.187796,4.298124
2014,9.192671,2.135323,4.711348
2015,9.404514,2.028954,5.366341
2016,10.069598,2.081665,5.376859
2017,10.327398,2.130604,5.536460
2018,10.506103,2.056493,5.629715
2019,10.750253,2.020861,5.587305
2020,10.139032,1.959636,4.968991
2021,10.655463,2.078440,5.565753
2022,10.915335,2.059405,5.791896
2023,11.302610,2.024519,5.937055
