"Year","Egypt","World"
1950,0.483833,2.372741
1951,0.488686,2.509281
1952,0.492710,2.496828
1953,0.475688,2.519009
1954,0.501886,2.522133
1955,0.446363,2.710743
1956,0.406580,2.829705
1957,0.475180,2.864250
1958,0.532376,2.886446
1959,0.482311,2.981084
1960,0.593047,3.109071
1961,0.615035,3.068418
1962,0.651961,3.117449
1963,0.736063,3.212604
1964,0.848954,3.313059
1965,0.895874,3.389338
1966,0.839276,3.482441
1967,0.606321,3.521091
1968,0.688838,3.638560
1969,0.578444,3.800910
1970,0.622564,4.031813
1971,0.647216,4.112250
1972,0.701196,4.219880
1973,0.640102,4.358162
1974,0.687817,4.257539
1975,0.801017,4.190445
1976,0.868885,4.342568
1977,0.931925,4.387958
1978,0.944305,4.445411
1979,1.006029,4.491730
1980,1.032629,4.385349
1981,1.133701,4.204303
1982,1.224405,4.095304
1983,1.203296,4.047822
1984,1.308730,4.114002
1985,1.275230,4.177916
1986,1.446648,4.164586
1987,1.412030,4.215461
1988,1.368538,4.303169
1989,1.289402,4.285587
1990,1.314656,4.275440
1991,1.318793,4.288762
1992,1.332573,4.101485
1993,1.503335,4.079975
1994,1.407751,4.061836
1995,1.542766,4.097368
1996,1.493946,4.164388
1997,1.667393,4.131378
1998,1.826633,4.059213
1999,1.834144,4.096031
2000,2.015318,4.148800
2001,1.752218,4.125716
2002,1.736100,4.162733
2003,1.973576,4.327484
2004,1.968149,4.421495
2005,2.127299,4.515645
2006,2.222434,4.611727
2007,2.296374,4.688505
2008,2.358259,4.708763
2009,2.414916,4.572416
2010,2.333547,4.774950
2011,2.431807,4.878259
2012,2.342532,4.887112
2013,2.264121,4.868795
2014,2.373615,4.830362
2015,2.297084,4.767311
2016,2.399005,4.713752
2017,2.560928,4.735624
2018,2.402309,4.780249
2019,2.449772,4.778430
2020,2.190084,4.479880
2021,2.388162,4.676995
2022,2.443178,4.676281
2023,2.386571,4.697341
