"Year","Manufacturing industries and construction: Other","Residential: Stationary combustion"
1990,0,3.029768
1991,0,3.099152
1992,0,3.003336
1993,0,3.132192
1994,0,3.277568
1995,0,3.350256
1996,0,3.455984
1997,0,3.492328
1998,0,3.508848
1999,0,3.568320
2000,0,2.636592
2001,0,2.672936
2002,0,2.709280
2003,0,2.742320
2004,0,2.778664
2005,0,2.815008
2006,0,2.848048
2007,0,2.884392
2008,0,2.917432
2009,0,2.953776
2010,0,2.986816
2011,0,2.154208
2012,0,2.174032
2013,0,2.193856
2014,0,2.213680
2015,0,2.233504
2016,0,2.250024
2017,0,2.266544
2018,0,2.473520
2019,0,2.477888
2020,0,2.482256
2021,0,2.486848
2022,0.978700,7.051184
