"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-8.073170,,,,
1991,-8.591089,,,,
1992,-8.347385,,,,
1993,-6.745032,,,,
1994,1.355876,,,,
1995,-7.661948,,,,
1996,-8.696486,,,,
1997,-8.305874,,,,
1998,-7.675092,,,,
1999,-7.777215,,,,
2000,-7.047088,,,,
2001,-8.729205,,,,
2002,-8.872398,,,,
2003,-8.742791,,,,
2004,-7.988493,,,,
2005,-8.073249,,,,
2006,-8.633726,,,,
2007,-7.502372,,,,
2008,-8.377168,,,,
2009,-8.750670,,,,
2010,-9.017125,,,,
2011,-9.544872,,,,
2012,-7.180379,,,,
2013,-10.341453,,,,
2014,-9.724568,,,,
2015,-10.998030,,,,
2016,-10.558048,,,,
2017,-9.321024,,,,
2018,-9.989886,,,,
2019,-10.374829,,,,
2020,-9.904516,,,,
2021,-9.169986,,,,
2022,-10.142086,,,,
