"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,0.014700,0.025500,0.018700,0.039700,0.047300,0.018700
1962,0.005200,0.025500,0.018700,0.025500,0.047300,0.018700
1963,0.006300,0.025500,0.018700,0.026500,0.047300,0.018700
1964,0.006300,0.014600,0.017800,0.031300,0.021600,0.017800
1965,0.006300,0.014600,0.017800,0.026100,0.022800,0.017800
1966,0.006300,0.014600,0.017200,0.023300,0.022800,0.017200
1967,0.011100,0.014600,0.017200,0.033900,0.022800,0.017200
1968,0.011000,0.024700,0.015600,0.031500,0.036800,0.015600
1969,0.011000,0.038100,0.013300,0.032000,0.051800,0.013300
1970,0.013000,0.044300,0.013900,0.036000,0.067900,0.013900
1971,0.012000,0.041800,0.010100,0.032000,0.058800,0.010100
1972,0.012000,0.039000,0.008300,0.033000,0.056100,0.008300
1973,0.013000,0.056800,0.004300,0.033000,0.074200,0.004300
1974,0.012000,0.057100,0.004300,0.030000,0.065200,0.004300
1975,0.012000,0.043900,0.004300,0.030000,0.054700,0.004300
1976,0.012000,0.027800,0.004300,0.030000,0.037200,0.004300
1977,0.012000,0.050900,0.004300,0.030000,0.055300,0.004300
1978,0.012000,0.093500,0,0.030000,0.085000,
1979,0.127000,0.095600,0,0.117000,0.082900,
1980,0.156400,0.095600,0,0.134400,0.085600,
1981,0.177600,0.090100,0,0.156600,0.094200,
1982,0.179600,0.096100,0,0.156600,0.088600,
1983,0.194100,0.075500,0,0.165100,0.077600,
1984,0.216100,0.076300,0,0.182100,0.097400,
1985,0.222100,0.065000,0,0.181100,0.087100,
1986,0.230100,0.193900,0,0.195100,0.157600,
1987,0.214100,0.186600,0,0.187100,0.178600,
1988,0.218100,0.180600,0,0.189100,0.188200,
1989,0.236100,0.135000,0,0.198100,0.175000,
1990,0.208000,0.084000,0,0.169000,0.117000,
1991,0.177000,0.095600,0,0.152500,0.136700,
1992,0.173000,0.109845,0.000061,0.150500,0.130351,0.000061
1993,0.204200,0.103000,0,0.165100,0.133900,0
1994,0.188600,0.113000,0.000200,0.155800,0.135400,0.000200
1995,0.151000,0.113000,0.000200,0.128100,0.135400,0.000221
1996,0.100300,0.080000,0,0.090300,0.115400,0.000021
1997,0.102000,0.067000,0,0.097000,0.117200,0
1998,0.109000,0.124999,0,0.094000,0.172099,0
1999,0.035800,0.136401,0,0.060800,0.214401,0
2000,0.037500,0.115700,0,0.056500,0.182300,0
2001,0.036900,0.106700,0,0.061900,0.187200,0
2002,0.026700,0.110400,0,0.048700,0.180300,0
2003,0.030900,0.172120,0.000128,0.044900,0.267398,0.002889
2004,0.035200,0.259266,0.000116,0.048200,0.398965,0.002400
2005,0.033500,0.259266,0.000116,0.046500,0.398965,0.002400
2006,0.033500,0.136301,0.000096,0.046500,0.235741,0.000211
2007,0.033500,0.179971,0.002404,0.046500,0.365935,0.002534
2008,0.033500,0.160614,0.002106,0.046500,0.286281,0.004184
2009,0.033500,0.198872,0.006791,0.046500,0.405361,0.012292
2010,0.033500,0.238959,0.006051,0.046500,0.469483,0.026849
2011,0.033500,0.255157,0.006119,0.046500,0.482175,0.026878
2012,0.033500,0.243774,0.002446,0.046500,0.528641,0.007821
2013,0.033500,0.283676,0.002323,0.046500,0.503925,0.007740
2014,0.033500,0.304894,0.000823,0.046500,0.551972,0.005955
2015,0.033500,0.419449,0.000852,0.046500,0.639316,0.005984
2016,0.033500,0.487563,0.002832,0.046500,0.708765,0.002812
2017,0.033500,0.406022,0.005402,0.046500,0.676424,0.005502
2018,0.033500,0.419096,0,0.046500,0.613521,0.002381
2019,0.033500,0.403272,0,0.046500,1.092270,0.005647
2020,0.040500,0,0,0.053500,1.019831,0.013472
2021,0.040500,0,0,0.053500,0.708315,0.017063
2022,0.050500,0,0,0.063500,0.800890,0.021080
2023,,,,0.063500,0.981974,0.027903
