"Year","Other energy industries","All others"
1990,0,0.000059
1991,0.000132,0.000038
1992,0.000478,0.000042
1993,0.000059,0.000072
1994,0.000011,0.000072
1995,0.000064,0.000072
1996,0.000041,0.000072
1997,0.000032,0.000095
1998,0.000193,0.000101
1999,0.000035,0.000101
2000,0.001286,0.000101
2001,0.000187,0.000101
2002,0.000008,0.000137
2003,0.000357,0.000111
2004,0.000048,0.000111
2005,0.000113,0.000135
2006,0.000352,0.000122
2007,0.001484,0.000135
2008,0.000053,0.000088
2009,0.000117,0.000102
2010,0.000346,0.000054
2011,0.000091,0.000051
2012,0,0.000027
2013,0.000031,0.000035
2014,0.000003,0.000013
2015,0.000134,0.000013
2016,0.000346,0.000013
2017,0.000199,0.000021
2018,0.000007,0.000045
2019,0.002119,0.000025
2020,0.001596,0.000024
2021,0.000038,0.000000
2022,0.000013,0.000000
