"Year","Algeria","World"
1950,0.075904,2.378734
1951,0.071709,2.515504
1952,0.087189,2.502896
1953,0.102613,2.524970
1954,0.099781,2.527923
1955,0.092612,2.716614
1956,0.085426,2.835461
1957,0.061083,2.869636
1958,0.145686,2.891376
1959,0.357320,2.985590
1960,2.136581,3.112931
1961,3.853793,3.071906
1962,4.977492,3.120741
1963,5.627919,3.215595
1964,6.229883,3.315825
1965,6.387768,3.391959
1966,8.002387,3.484865
1967,8.952242,3.523155
1968,9.610746,3.640223
1969,9.951627,3.802135
1970,10.227405,4.032588
1971,7.716329,4.112597
1972,10.159852,4.219747
1973,10.442102,4.355556
1974,9.560549,4.253289
1975,9.188130,4.173319
1976,9.903105,4.310191
1977,10.095075,4.352449
1978,10.463565,4.432504
1979,11.142784,4.465701
1980,9.444023,4.364099
1981,8.572244,4.168842
1982,8.800010,4.060496
1983,9.374833,4.023942
1984,9.623323,4.068703
1985,9.382927,4.137420
1986,9.328776,4.122175
1987,9.672017,4.179654
1988,9.843592,4.262697
1989,10.086821,4.241189
1990,10.508804,4.266701
1991,10.606596,4.282473
1992,10.290282,4.090168
1993,10.081810,4.068620
1994,9.499642,4.047994
1995,9.799626,4.083544
1996,10.175684,4.148108
1997,10.873857,4.114970
1998,11.034055,4.044522
1999,11.263374,4.079117
2000,11.973375,4.133621
2001,11.374776,4.107635
2002,11.834701,4.144280
2003,12.690969,4.307030
2004,12.798153,4.399256
2005,12.430862,4.493561
2006,12.008359,4.585831
2007,11.852725,4.661509
2008,11.554110,4.682571
2009,10.400856,4.545518
2010,9.976396,4.744937
2011,9.740857,4.848876
2012,9.153948,4.854014
2013,8.838986,4.837742
2014,8.989267,4.804597
2015,8.758742,4.739116
2016,9.146317,4.682487
2017,8.918008,4.705259
2018,8.700013,4.752195
2019,8.161114,4.747814
2020,7.345282,4.457744
2021,8.133390,4.634748
2022,8.093938,4.678452
2023,8.197842,4.707772
2024,7.571204,4.729075
