"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-9.880861,1.807690,,,,
1991,-9.899855,1.308766,,,,
1992,-9.918850,1.571465,,,,
1993,-9.937845,3.192813,,,,
1994,-9.956840,11.312716,,,,
1995,-9.975834,2.313886,,,,
1996,-9.994829,1.298343,,,,
1997,-10.013824,1.707950,,,,
1998,-10.032818,2.357727,,,,
1999,-10.051813,2.274598,,,,
2000,-10.070808,3.023720,,,,
2001,-10.045704,1.316500,,,,
2002,-10.020601,1.148203,,,,
2003,-9.995498,1.252707,,,,
2004,-9.970394,1.981902,,,,
2005,-9.945291,1.872042,,,,
2006,-9.920188,1.286461,,,,
2007,-9.895084,2.392712,,,,
2008,-9.869981,1.492813,,,,
2009,-10.147454,1.396784,,,,
2010,-10.424927,1.407802,,,,
2011,-10.702399,1.157527,,,,
2012,-10.979872,3.799493,,,,
2013,-11.257345,0.915892,,,,
2014,-11.534818,1.810250,,,,
2015,-11.812291,0.814261,,,,
2016,-11.624529,1.066481,,,,
2017,-11.534734,2.213710,,,,
2018,-11.089253,1.099368,,,,
2019,-11.504934,1.130105,,,,
2020,-11.559675,1.655159,,,,
2021,-11.559675,2.389689,,,,
2022,-11.559675,1.417588,,,,
