"Year","Algeria","World"
1950,0.419475,2.372741
1951,0.445567,2.509281
1952,0.408457,2.496828
1953,0.409244,2.519009
1954,0.414751,2.522133
1955,0.449761,2.710743
1956,0.476938,2.829705
1957,0.517327,2.864250
1958,0.476881,2.886446
1959,0.506699,2.981084
1960,0.539852,3.109071
1961,0.522125,3.068418
1962,0.480632,3.117449
1963,0.452749,3.212604
1964,0.463338,3.313059
1965,0.532138,3.389338
1966,0.667613,3.482441
1967,0.653758,3.521091
1968,0.686093,3.638560
1969,0.834849,3.800910
1970,1.091552,4.031813
1971,1.321699,4.112250
1972,1.961436,4.219880
1973,2.588678,4.358162
1974,2.103570,4.257539
1975,2.035093,4.190445
1976,2.371506,4.342568
1977,2.442188,4.387958
1978,3.542025,4.445411
1979,2.507051,4.491730
1980,3.544219,4.385349
1981,2.394767,4.204303
1982,1.958642,4.095304
1983,2.538615,4.047822
1984,3.316261,4.114002
1985,3.280594,4.177916
1986,3.324821,4.164586
1987,3.556480,4.215461
1988,3.452872,4.303169
1989,3.206502,4.285587
1990,3.007187,4.275440
1991,3.015502,4.288762
1992,2.986481,4.101485
1993,2.995649,4.079975
1994,3.171721,4.061836
1995,3.398302,4.097368
1996,3.451464,4.164388
1997,2.998009,4.131378
1998,3.560158,4.059213
1999,3.013539,4.096031
2000,2.774968,4.148800
2001,2.783222,4.125716
2002,2.867771,4.162733
2003,2.950491,4.327484
2004,2.821092,4.421495
2005,3.367830,4.515645
2006,3.167218,4.611727
2007,3.233581,4.688505
2008,3.213443,4.708763
2009,3.376981,4.572416
2010,3.300762,4.774950
2011,3.423165,4.878259
2012,3.641230,4.887112
2013,3.704844,4.868795
2014,3.903048,4.830362
2015,4.048424,4.767311
2016,3.928712,4.713752
2017,4.015259,4.735624
2018,4.119189,4.780249
2019,4.212739,4.778430
2020,3.870458,4.479880
2021,4.065291,4.676995
2022,4.110130,4.676281
2023,3.905865,4.697341
