"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,0.001200
1962,,,0.001600,0.002000
1963,,,0.002000,0.001100
1964,,,0.000800,0.001900
1965,,,0.000200,0.001800
1966,,,0,0.002800
1967,,,0,0.002800
1968,,,0.000400,0.001400
1969,,,0.003200,0.001400
1970,,,0.003000,0.001400
1971,,,0.006400,0.001400
1972,,,0.003800,0.001400
1973,,,0.003800,0.001400
1974,,,0.006200,0.000600
1975,,,0.000800,0.000600
1976,,,0.000800,0.000600
1977,,,0.001000,0.000500
1978,,,0.000400,0.000500
1979,,0.000200,0.000600,0.000500
1980,,0.000400,0.003800,0.000500
1981,,0.000400,0.003800,0.000500
1982,,0.000200,0.004600,0.000500
1983,,0.000400,0.003000,0.020000
1984,,0.000400,0.001200,0.019000
1985,,0.000200,0.000400,0.000400
1986,,0.000300,0.002400,0.000200
1987,,0.000300,0.000600,0.000200
1988,,0.000800,0.000800,0.000200
1989,,0.001000,0.005800,0.000500
1990,,0.001000,0.007800,0.001347
1991,,0.000100,0.009400,0.004420
1992,0.001897,0.000477,0.005338,0.000218
1993,0.003100,0.000034,0.012000,0.001873
1994,0.001200,0.000300,0.010000,0.001900
1995,0.001100,0,0.038400,0.004400
1996,0.000600,0,0.024800,0.004400
1997,0.000400,0,0.033000,0.004400
1998,0.000200,0,0.026820,0.000300
1999,0.000100,0,0.030000,0.001300
2000,0.000100,0,0.019800,0.004000
2001,0.004200,0,0.023120,0.007000
2002,0.002925,0,0.049400,0.036396
2003,0.007207,0,0.035800,0.039643
2004,0.019669,0,0.056822,0.079510
2005,0.009290,0,0.056822,0.029580
2006,0.010107,0.000093,0.051522,0.036862
2007,0.016267,0.000008,0.055522,0.055955
2008,0.011640,0.000114,0.087000,0.055964
2009,0.009370,0.000219,0.086000,0.026590
2010,0.016795,0.000172,0.021230,0.043775
2011,0.008793,0.000110,0.020340,0.084374
2012,0.007150,0.000217,0.020540,0.102259
2013,0.015718,0.006788,0.017646,0.135173
2014,0.029045,0.000011,0.015474,0.208036
2015,0.006154,0.000067,0.009656,0.145271
2016,0.004004,0.000933,0.013210,0.137927
2017,0.001462,0.002809,0.016706,0.136157
2018,0.001470,0.006384,0.024216,0.155068
2019,0.002382,0.008846,0.029512,0.130650
2020,0.001181,0.002918,0.029850,0.095000
2021,0.003691,0.004340,0.037537,0.139438
2022,0.003044,0.000978,0.040282,0.368712
2023,0.002422,0.001088,0.022444,0.149212
