"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
2000,-30.539333,3.441293,0.313315,,-0.012767,
2001,-30.969582,3.354800,0.237540,,-0.030693,
2002,-30.817462,3.339705,0.075354,,-0.050414,
2003,-30.917876,3.777903,-0.088803,,-0.070309,
2004,-31.328957,3.154219,-0.220131,,-0.108966,
2005,-31.343637,3.726249,-0.229147,,-0.122070,
2006,-31.970452,3.333566,-0.228469,,-0.154274,
2007,-31.500487,2.692427,-0.456859,,-0.171691,
2008,-31.211238,3.737387,-0.216064,,-0.210041,
2009,-32.645749,2.704072,-0.313693,,-0.242266,
2010,-32.019744,2.570838,-0.551148,,-0.265905,
2011,-32.294363,2.785231,-0.398142,,-0.297593,
2012,-32.815764,2.883547,-0.394128,,-0.334416,
2013,-33.373801,3.185521,-0.379764,,-0.369968,
2014,-33.717069,2.849448,-0.305909,,-0.389258,
2015,-33.873646,3.968684,-0.252347,,-0.417393,
2016,-34.309143,5.960830,-0.360426,,-0.450767,
2017,-34.644612,3.219571,-0.215453,,-0.482097,
2018,-33.520262,2.489072,-0.529548,,-0.494239,
2019,-32.941232,4.164479,-0.632188,,-0.521608,
2020,-35.219104,2.582866,-0.790689,,-0.521107,
2021,-36.213056,1.764855,-0.787467,,-0.517004,
