"Year","Albania","World"
1950,0.237789,2.378734
1951,0.315725,2.515504
1952,0.285601,2.502896
1953,0.308113,2.524970
1954,0.363416,2.527923
1955,0.467284,2.716614
1956,0.575767,2.835461
1957,1.005108,2.869636
1958,0.778162,2.891376
1959,0.904896,2.985590
1960,1.226050,3.112931
1961,1.341268,3.071906
1962,1.411760,3.120741
1963,1.161522,3.215595
1964,1.094086,3.315825
1965,1.146674,3.391959
1966,1.307447,3.484865
1967,1.333067,3.523155
1968,1.483543,3.640223
1969,1.523974,3.802135
1970,1.714401,4.032588
1971,1.945431,4.112597
1972,2.462789,4.219747
1973,2.255192,4.355556
1974,1.809415,4.253289
1975,1.870238,4.173319
1976,1.970540,4.310191
1977,2.227595,4.352449
1978,2.473212,4.432504
1979,2.828378,4.465701
1980,1.890329,4.364099
1981,2.631542,4.168842
1982,2.566858,4.060496
1983,2.626667,4.023942
1984,2.639465,4.068703
1985,2.604399,4.137420
1986,2.609775,4.122175
1987,2.365092,4.179654
1988,2.281172,4.262697
1989,2.756177,4.241189
1990,1.684155,4.266701
1991,1.306959,4.282473
1992,0.766829,4.090168
1993,0.713277,4.068620
1994,0.588426,4.047994
1995,0.641099,4.083544
1996,0.621598,4.148108
1997,0.477762,4.114970
1998,0.546616,4.044522
1999,0.936524,4.079117
2000,0.955396,4.133621
2001,1.023099,4.107635
2002,1.195967,4.144280
2003,1.380173,4.307030
2004,1.347901,4.399256
2005,1.385303,4.493561
2006,1.281862,4.585831
2007,1.324428,4.661509
2008,1.486282,4.682571
2009,1.475584,4.545518
2010,1.644690,4.744937
2011,1.777584,4.848876
2012,1.694158,4.854014
2013,1.838678,4.837742
2014,2.091258,4.804597
2015,1.625644,4.739116
2016,1.571858,4.682487
2017,1.843804,4.705259
2018,1.794902,4.752195
2019,1.712482,4.747814
2020,1.693980,4.457744
2021,1.802691,4.634748
2022,1.590844,4.678452
2023,1.571079,4.707772
2024,1.591985,4.729075
