"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.711081,,
1991,0.537973,,
1992,0.410736,,
1993,0.509481,,
1994,0.638806,,
1995,0.631234,,
1996,0.624607,,
1997,0.496090,,
1998,0.742898,,
1999,1.246639,,
2000,1.312957,,
2001,1.388694,,
2002,1.559721,,
2003,1.755975,,
2004,2.135512,,
2005,2.200978,,
2006,1.741114,,
2007,1.909530,,
2008,2.035341,,
2009,2.277370,,
2010,2.208878,,
2011,2.284810,,
2012,2.196298,,
2013,2.356769,,
2014,2.366284,,
2015,2.340394,,
2016,2.189014,,
2017,2.195532,,
2018,2.084764,,
2019,2.065358,,
2020,1.421004,,
2021,1.630843,,
2022,1.552770,,
