"Year","Albania","World"
1950,0.351070,2.378734
1951,0.399158,2.515504
1952,0.380696,2.502896
1953,0.379944,2.524970
1954,0.483723,2.527923
1955,0.573879,2.716614
1956,0.698027,2.835461
1957,1.118321,2.869636
1958,0.943171,2.891376
1959,1.073969,2.985590
1960,1.470627,3.112931
1961,1.501292,3.071906
1962,1.491915,3.120741
1963,1.372553,3.215595
1964,1.375491,3.315825
1965,1.428290,3.391959
1966,1.515818,3.484865
1967,1.617821,3.523155
1968,1.827143,3.640223
1969,2.009349,3.802135
1970,2.287883,4.032588
1971,2.504119,4.112597
1972,3.110761,4.219747
1973,3.041462,4.355556
1974,2.613477,4.253289
1975,2.683032,4.173319
1976,2.780596,4.310191
1977,2.804038,4.352449
1978,2.860825,4.432504
1979,3.262960,4.465701
1980,2.216519,4.364099
1981,2.723407,4.168842
1982,2.469190,4.060496
1983,2.260967,4.023942
1984,2.337641,4.068703
1985,2.110862,4.137420
1986,2.116188,4.122175
1987,1.851302,4.179654
1988,1.786333,4.262697
1989,1.757005,4.241189
1990,1.671877,4.266701
1991,1.129971,4.282473
1992,0.793014,4.090168
1993,0.712330,4.068620
1994,0.546332,4.047994
1995,0.519812,4.083544
1996,0.476060,4.148108
1997,0.347146,4.114970
1998,0.352847,4.044522
1999,0.312127,4.079117
2000,0.300193,4.133621
2001,0.292443,4.107635
2002,0.387971,4.144280
2003,0.374704,4.307030
2004,0.419859,4.399256
2005,0.412535,4.493561
2006,0.492467,4.585831
2007,0.561387,4.661509
2008,0.581103,4.682571
2009,0.564127,4.545518
2010,0.736359,4.744937
2011,0.887306,4.848876
2012,1.020694,4.854014
2013,1.193707,4.837742
2014,1.360848,4.804597
2015,1.309247,4.739116
2016,1.095623,4.682487
2017,1.030142,4.705259
2018,1.012090,4.752195
2019,1.058289,4.747814
2020,0.880911,4.457744
2021,0.926278,4.634748
2022,0.654837,4.678452
2023,0.712313,4.707772
2024,0.682416,4.729075
