"Year","Hydro","Solar"
2019,-3.350607,0.020862
2020,0.098935,0.010069
2021,3.640373,0.008505
2022,-2.082271,0.120122
2023,1.768929,0.136567
2024,-1.235019,0.486908
2025,-0.415222,0.662157
2026,1.401203,0.228553
