"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil"
2021,"NaN",0.490000,"NaN","NaN",-0.030000,"NaN","NaN"
2022,"NaN",-0.540000,"NaN","NaN",-0.110000,"NaN","NaN"
2023,"NaN",-0.190000,"NaN","NaN",0.020000,"NaN","NaN"
2024,"NaN",-0.450000,"NaN","NaN",-0.010000,"NaN","NaN"
