"Year","Tunisia","World"
1950,0.000631,2.378734
1951,0.001236,2.515504
1952,0.001817,2.502896
1953,0.001779,2.524970
1954,0.002323,2.527923
1955,0.002273,2.716614
1956,0.003345,2.835461
1957,0.003301,2.869636
1958,0.003269,2.891376
1959,0.003235,2.985590
1960,0.003734,3.112931
1961,0.003691,3.071906
1962,0.003647,3.120741
1963,0.003599,3.215595
1964,0.004056,3.315825
1965,0.003992,3.391959
1966,0.470806,3.484865
1967,1.329922,3.523155
1968,1.846432,3.640223
1969,2.090859,3.802135
1970,2.281227,4.032588
1971,2.200532,4.112597
1972,2.084711,4.219747
1973,2.020737,4.355556
1974,2.133357,4.253289
1975,2.307368,4.173319
1976,1.825659,4.310191
1977,2.056389,4.352449
1978,2.312740,4.432504
1979,2.534234,4.465701
1980,2.537194,4.364099
1981,2.385898,4.168842
1982,2.237953,4.060496
1983,2.342594,4.023942
1984,2.264568,4.068703
1985,2.170408,4.137420
1986,2.058075,4.122175
1987,1.904079,4.179654
1988,1.829561,4.262697
1989,1.808745,4.241189
1990,1.683959,4.266701
1991,1.879286,4.282473
1992,1.831481,4.090168
1993,1.615481,4.068620
1994,1.464313,4.047994
1995,1.398999,4.083544
1996,1.495312,4.148108
1997,1.565362,4.114970
1998,1.575889,4.044522
1999,1.576236,4.079117
2000,1.435543,4.133621
2001,1.381708,4.107635
2002,1.386671,4.144280
2003,1.291201,4.307030
2004,1.348967,4.399256
2005,1.358451,4.493561
2006,1.339637,4.585831
2007,1.630563,4.661509
2008,1.511312,4.682571
2009,1.522944,4.545518
2010,1.661050,4.744937
2011,1.501534,4.848876
2012,1.464492,4.854014
2013,1.374827,4.837742
2014,1.251545,4.804597
2015,1.157184,4.739116
2016,1.049027,4.682487
2017,0.919351,4.705259
2018,0.876468,4.752195
2019,0.800169,4.747814
2020,0.766719,4.457744
2021,0.910797,4.634748
2022,0.802287,4.678452
2023,0.746517,4.707772
2024,0.605160,4.729075
