"Year","Tunisia","World"
1950,0.338140,2.372741
1951,0.374797,2.509281
1952,0.385321,2.496828
1953,0.360579,2.519009
1954,0.360949,2.522133
1955,0.401444,2.710743
1956,0.385385,2.829705
1957,0.384658,2.864250
1958,0.350612,2.886446
1959,0.382020,2.981084
1960,0.410945,3.109071
1961,0.416560,3.068418
1962,0.418965,3.117449
1963,0.448687,3.212604
1964,0.627301,3.313059
1965,0.551987,3.389338
1966,0.633470,3.482441
1967,0.661448,3.521091
1968,0.750749,3.638560
1969,0.783717,3.800910
1970,0.740726,4.031813
1971,0.812061,4.112250
1972,0.889549,4.219880
1973,0.883081,4.358162
1974,0.960829,4.257539
1975,0.960990,4.190445
1976,0.985638,4.342568
1977,1.108558,4.387958
1978,1.197240,4.445411
1979,1.366908,4.491730
1980,1.443497,4.385349
1981,1.458987,4.204303
1982,1.378440,4.095304
1983,1.596227,4.047822
1984,1.588523,4.114002
1985,1.599839,4.177916
1986,1.574776,4.164586
1987,1.495985,4.215461
1988,1.548590,4.303169
1989,1.607020,4.285587
1990,1.605783,4.275440
1991,1.856178,4.288762
1992,1.721976,4.101485
1993,1.828943,4.079975
1994,1.764716,4.061836
1995,1.750752,4.097368
1996,1.762277,4.164388
1997,1.801150,4.131378
1998,1.838444,4.059213
1999,1.904340,4.096031
2000,1.976234,4.148800
2001,2.043961,4.125716
2002,2.048646,4.162733
2003,2.074039,4.327484
2004,2.146725,4.421495
2005,2.170304,4.515645
2006,2.191045,4.611727
2007,2.324204,4.688505
2008,2.391081,4.708763
2009,2.357524,4.572416
2010,2.582620,4.774950
2011,2.396226,4.878259
2012,2.546803,4.887112
2013,2.507284,4.868795
2014,2.597977,4.830362
2015,2.718346,4.767311
2016,2.618161,4.713752
2017,2.647573,4.735624
2018,2.609063,4.780249
2019,2.519101,4.778430
2020,2.342614,4.479880
2021,2.541547,4.676995
2022,2.585569,4.676281
2023,2.632227,4.697341
