"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-156.179106,3.970567,,,,
1991,-156.245390,3.970567,,,,
1992,-156.311674,3.970567,,,,
1993,-156.377966,3.970567,,,,
1994,-156.444250,3.970567,,,,
1995,-156.510542,3.970567,,,,
1996,-156.576826,3.970567,,,,
1997,-156.643110,3.970567,,,,
1998,-156.709402,3.970567,,,,
1999,-156.775686,3.970567,,,,
2000,-156.841978,3.970567,,,,
2001,-156.908262,3.970567,,,,
2002,-156.974545,3.970567,,,,
2003,-157.040838,3.970567,,,,
2004,-157.107122,3.970567,,,,
2005,-157.173414,3.970567,,,,
2006,-157.239698,3.970567,,,,
2007,-157.305981,3.970567,,,,
2008,-157.372274,3.970567,,,,
2009,-157.438557,3.970567,,,,
2010,-157.504850,3.970567,,,,
2011,-157.571133,3.970567,,,,
2012,-158.510646,3.967416,,,,
2013,-158.401416,4.113206,,,,
2014,-158.362234,5.083104,,,,
2015,-158.204391,5.708549,,,,
2016,-158.204391,4.786723,,,,
2017,-158.125513,3.936565,,,,
2018,-154.928529,4.143434,,,,
2019,-154.819299,9.649437,,,,
2020,-154.343027,6.361547,,,,
2021,-154.336074,3.617834,,,,
2022,-152.960337,4.192825,,,,
