"Year","Guyana","World"
1950,0.622773,2.372741
1951,0.667116,2.509281
1952,0.765490,2.496828
1953,0.993830,2.519009
1954,1.010344,2.522133
1955,1.068916,2.710743
1956,1.099558,2.829705
1957,1.034154,2.864250
1958,0.855259,2.886446
1959,0.998318,2.981084
1960,1.153027,3.109071
1961,1.251219,3.068418
1962,1.120706,3.117449
1963,0.991701,3.212604
1964,1.019767,3.313059
1965,1.656728,3.389338
1966,1.778853,3.482441
1967,1.959376,3.521091
1968,1.939142,3.638560
1969,1.963838,3.800910
1970,2.239148,4.031813
1971,2.099128,4.112250
1972,2.161879,4.219880
1973,2.469892,4.358162
1974,2.105916,4.257539
1975,2.447286,4.190445
1976,2.324179,4.342568
1977,2.492785,4.387958
1978,2.674317,4.445411
1979,1.963325,4.491730
1980,2.297722,4.385349
1981,2.307370,4.204303
1982,1.799951,4.095304
1983,1.600469,4.047822
1984,1.808375,4.114002
1985,1.835151,4.177916
1986,1.358789,4.164586
1987,1.712764,4.215461
1988,1.850237,4.303169
1989,1.571891,4.285587
1990,1.510491,4.275440
1991,1.487077,4.288762
1992,1.396750,4.101485
1993,1.397558,4.079975
1994,1.945540,4.061836
1995,2.086224,4.097368
1996,2.192844,4.164388
1997,2.391851,4.131378
1998,2.416206,4.059213
1999,2.416842,4.096031
2000,2.302517,4.148800
2001,2.295398,4.125716
2002,2.255294,4.162733
2003,2.442468,4.327484
2004,2.534460,4.421495
2005,2.131721,4.515645
2006,1.990551,4.611727
2007,2.353806,4.688505
2008,2.264038,4.708763
2009,2.540997,4.572416
2010,2.522903,4.774950
2011,2.633917,4.878259
2012,2.634852,4.887112
2013,2.549142,4.868795
2014,2.625458,4.830362
2015,2.653316,4.767311
2016,3.128336,4.713752
2017,3.048554,4.735624
2018,3.186405,4.780249
2019,3.450105,4.778430
2020,4.215479,4.479880
2021,4.451176,4.676995
2022,4.485063,4.676281
2023,4.356011,4.697341
