"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
201001,0,67.304871,4.255139,0
201002,0,61.677178,4.591459,0
201003,0,71.779284,4.811368,0
201004,0,68.157055,4.161003,0
201005,0,72.410921,5.113407,0
201006,10.238174,72.348074,5.208278,0
201007,0,70.884635,7.291600,0
201008,0,52.341281,3.996437,0
201009,0,57.897498,5.965806,0
201010,0,71.828607,4.947568,0
201011,0,71.533127,6.083011,0
201012,0,73.592880,6.093775,0
201101,0,71.187002,5.346441,0
201102,0,64.963663,10.261694,0
201103,0,68.363906,21.559157,0
201104,0,65.536177,5.417314,0
201105,0,67.035370,8.401266,0
201106,14.682842,38.094582,4.339623,0
201107,25.935842,39.119188,4.837547,0
201108,0,59.960010,11.739768,0
201109,0,66.454581,5.221846,0
201110,0,69.408589,4.486799,0
201111,0,63.124759,5.875488,0
201112,17.334475,68.509082,6.142236,0
201201,0,71.411100,4.439457,0
201202,0,68.213493,6.224424,0
201203,0,69.557886,6.993995,0
201204,0,66.701718,6.358679,0
201205,0,70.717498,5.942363,0
201206,13.231080,62.192524,6.214184,0
201207,0,67.149160,5.064652,0
201208,0,73.575774,5.379119,0
201209,0,58.860730,8.301274,0
201210,0,68.320261,4.716815,0
201211,0,69.776221,4.642006,0
201212,12.459154,71.307510,5.516186,0
201301,0,68.571640,5.965325,0
201302,0,60.439268,6.277264,0
201303,0,59.522998,4.904477,0
201304,0,60.855784,4.738732,0
201305,0,62.175291,5.380099,0
201306,10.189692,65.205624,6.424275,0
201307,0,64.456205,5.022053,0
201308,0,69.581406,4.224800,0
201309,0,20.412680,6.448581,0
201310,0,67.589671,3.959347,0
201311,0,62.690463,5.446703,0
201312,0,69.137888,4.272373,0
201401,0,70.536866,7.146561,0
201402,0,65.956282,4.315813,0
201403,0,72.297065,5.293333,0
201404,0,68.279993,5.313022,0
201405,0,72.910146,4.358777,0
201406,9.479791,68.070258,6.167574,0
201407,0,66.506634,5.731221,0
201408,0,62.285009,6.763486,0
201409,0,58.156076,5.632664,0
201410,0,68.288707,5.266294,0
201411,0,67.410670,4.858347,0
201412,12.329145,70.339681,4.624376,0
201501,0,66.402201,4.743321,0
201502,0,64.561706,4.099712,0
201503,0,72.282245,4.211842,0
201504,0,72.001620,6.278108,0
201505,0,55.796415,5.916304,0
201506,9.363325,65.237331,5.538612,0
201507,0,68.026531,5.348877,0
201508,0,70.746474,4.219826,0
201509,0,63.362920,7.042981,0
201510,0,73.664858,4.912301,0
201511,0,71.680365,6.036520,0
201512,12.115173,73.682793,7.288156,0
201601,0,77.410162,7.001468,0
201602,0,79.335561,6.927722,0
201603,0,75.497460,5.239155,0
201604,0,72.901892,4.461479,0
201605,0,73.050074,4.523346,0
201606,9.719494,67.718971,6.034837,0
201607,0,82.866306,4.771749,0
201608,0,72.607871,4.411445,0
201609,0,33.272014,8.787031,0
201610,0,85.623326,4.170869,0
201611,0,78.738955,4.084099,0
201612,18.210841,75.258255,4.839553,0
201701,0,80.811915,3.894865,0
201702,0,71.937788,4.727283,0
201703,0,78.594695,3.274973,0
201704,0,77.967861,2.513912,0
201705,0,80.657996,3.184897,0
201706,7.204641,76.503870,2.911980,0
201707,0,71.771501,3.557573,0
201708,0,72.067861,3.609706,0
201709,0,71.741768,5.234203,0
201710,0,70.895967,4.481112,0
201711,0,64.272220,2.789090,0
201712,11.858569,70.251784,2.508353,0
201801,0,70.386871,2.897880,0
201802,0,63.829731,2.804640,0
201803,0,64.966807,2.948043,0
201804,0,46.253924,5.395109,0
201805,0,67.842290,3.375543,0
201806,16.263259,63.962483,3.093066,0
201807,0,67.754234,4.210396,0
201808,0,64.031442,4.477714,0
201809,0,48.530248,6.571023,0
201810,0,62.213521,3.969465,0
201811,0,61.212992,4.372015,0
201812,10.353015,63.697530,3.811804,0
201901,0,61.811051,2.829672,0.865592
201902,0,57.911885,2.698534,1.601680
201903,0,61.116139,0.549538,2.041142
201904,0,59.273149,2.539262,2.112506
201905,0,58.094660,0.543126,2.002325
201906,10.747375,59.746742,2.332034,1.457899
201907,0,59.776992,0.975866,2.097909
201908,0,57.554357,3.751396,0.705528
201909,0,62.245033,2.310478,1.529903
201910,0,69.696863,10.875563,1.492801
201911,0,63.292512,7.382163,1.899964
201912,10.743122,61.486778,5.798655,2.290457
202001,0,62.204487,3.284972,0.136199
