"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,0.168290,0.273663,0.083934
1991,0.178795,0.291878,0.098746
1992,0.190143,0.311729,0.116171
1993,0.202430,0.333405,0.136672
1994,0.215767,0.357160,0.160791
1995,0.233051,0.388063,0.193056
1996,0.250335,0.418967,0.225321
1997,0.267620,0.449871,0.257586
1998,0.284904,0.480775,0.289851
1999,0.302188,0.511679,0.322117
2000,0.319473,0.542583,0.354382
2001,0.349125,0.593932,0.401459
2002,0.345710,0.594122,0.410949
2003,0.400043,0.678093,0.484850
2004,0.430749,0.717377,0.515571
2005,0.463868,0.763454,0.551649
2006,0.496633,0.814662,0.577716
2007,0.519683,0.860559,0.606811
2008,0.447843,0.792685,0.574188
2009,0.469565,0.842570,0.630819
2010,0.507526,0.928175,0.698743
2011,0.420921,0.874315,0.703214
2012,0.439523,0.911014,0.744907
2013,0.450977,0.930110,0.760321
2014,0.516042,1.069628,0.868578
2015,0.567305,1.059942,1.058151
2016,0.593966,1.090740,1.091631
2017,0.505621,1.197293,0.973032
2018,0.524683,1.266882,0.915366
2019,0.540714,1.342726,0.846413
2020,0.494221,1.355278,0.749315
2021,0.547464,1.358129,0.796935
2022,0.545799,1.344768,0.845346
