"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1986,1.349358,0.045127,0.529214
1990,1.804914,0.047320,0.746962
1991,1.695944,0.049112,0.706231
1992,1.866631,0.049000,0.602812
1993,2.237336,0.060051,0.760938
1994,2.491060,0.071453,0.860506
1995,2.691336,0.087756,1.040259
1996,3.016702,0.097338,1.231534
1997,3.030927,0.117651,1.405414
1998,2.686122,0.122004,0.971509
1999,2.647102,0.134168,0.792657
2000,2.745877,0.139809,0.632659
2001,2.753475,0.153402,0.770978
2002,2.787653,0.191797,0.807843
2003,2.805682,0.193998,0.842768
2004,2.770599,0.229160,1.025050
2005,2.849491,0.232103,1.210862
2006,2.986985,0.239751,1.301663
2007,3.271296,0.312429,1.538440
2008,3.767273,0.416452,1.849486
2009,3.322633,0.358452,1.372750
2010,3.497015,0.401895,1.289007
2011,3.693152,0.444108,1.398254
2012,3.646724,0.450190,1.457288
2013,3.446365,0.422081,1.386285
2014,3.410025,0.421255,1.425198
2015,3.369452,0.415155,1.442473
2016,3.562514,0.468714,1.569756
2017,3.591697,0.473791,1.661334
2018,3.573866,0.468302,1.668770
2019,3.427008,0.448329,1.626827
2020,2.620971,0.376145,1.475366
2021,3.057658,0.467972,1.567804
2022,3.626065,0.532245,1.524920
2023,3.508900,0.479069,1.268713
2024,3.649365,0.523375,1.389607
