"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1986,,,15.284024,15.284024,15.295704,15.294748,15.289070,15.289070,15.330163,15.329045,15.329044,15.530231,15.530237,15.530560,15.530482,15.533159,15.533180,15.629193,15.639576,15.418342,15.418342,15.422269
1987,,,14.874962,14.874962,14.891380,14.757190,14.751243,14.751243,14.782997,14.780414,14.780412,14.965377,14.965381,14.965702,14.965639,14.968154,14.968175,14.870949,14.881357,14.692302,,
1988,,,14.464367,14.464367,14.481380,14.407169,14.400928,14.400928,14.432682,14.429572,14.429570,14.609854,14.609860,14.610188,14.610108,14.612595,14.612615,14.278541,14.289786,14.289785,,
1989,,,14.451870,14.451870,14.469100,14.383979,14.377975,14.377975,14.409729,14.405454,14.405452,14.567969,14.567977,14.568285,14.568214,14.570666,14.570684,14.121509,14.132595,14.132594,,
1990,13.547546,13.547546,13.711939,13.711939,13.730093,13.722879,13.716135,13.716135,13.747889,13.744108,13.744106,13.907901,13.907912,13.908193,13.908133,13.910319,13.910336,13.895891,13.907776,13.907774,13.907774,13.910555
1991,12.679899,12.679899,12.903899,12.903899,12.917132,12.901887,12.895503,12.895503,12.902351,12.897243,12.897241,13.051542,13.051548,13.051855,13.051743,13.053760,13.053778,13.011504,13.023665,13.023663,13.023663,13.026831
1992,12.702473,12.702473,12.905549,12.905549,12.924933,12.909117,12.883593,12.883593,12.884962,12.873802,12.873800,13.047129,13.047139,13.047485,13.047322,13.049496,13.049517,12.910303,12.921112,12.921128,12.921126,12.924484
1993,13.322705,13.322705,13.539515,13.539515,13.562798,13.413003,13.388071,13.388071,13.389441,13.375032,13.375030,13.541354,13.541371,13.541725,13.541561,13.543565,13.543584,13.469476,13.482941,13.482958,13.487956,13.490984
1994,13.110580,13.110580,13.381643,13.381643,13.408444,13.398658,13.368834,13.368834,13.370203,13.354455,13.354453,13.707916,13.707936,13.708287,13.708132,13.710032,13.710051,13.691103,13.699462,13.699504,13.699503,13.702539
1995,13.959725,13.959725,14.172398,14.172398,14.201082,14.227640,14.178740,14.178740,14.180110,14.163808,14.163807,14.332748,14.332768,14.333120,14.332952,14.334867,14.334884,14.419098,14.430785,14.430852,14.430850,14.433598
1996,14.764461,14.764461,14.917805,14.917805,14.949804,14.900128,14.844252,14.844252,14.845622,14.828228,14.828227,14.998895,14.998917,14.999274,14.999105,15.000961,15.000980,15.067334,15.079571,15.079659,15.079657,15.082859
1997,15.201718,15.202330,15.222269,15.222269,15.253585,15.200629,15.136566,15.136566,15.137935,15.122244,15.122243,15.303848,15.303871,15.304224,15.304042,15.305982,15.306018,15.563275,15.563573,15.563690,15.563687,15.569169
1998,14.955619,14.956202,14.968386,14.968386,14.995689,14.938236,14.880457,14.880457,14.883135,14.869987,14.869986,15.042628,15.042657,15.043004,15.042794,15.044706,15.044741,15.114419,15.118000,15.118111,15.118105,15.123632
1999,14.298090,14.298693,14.317613,14.317613,14.344356,14.303792,14.236872,14.236872,14.239736,14.227510,14.227509,14.399538,14.399566,14.399903,14.399680,14.401466,14.401507,14.465180,14.472186,14.472298,14.472294,14.478462
2000,14.362114,14.362672,14.383653,14.383653,14.411264,14.398646,14.325859,14.325859,14.328910,14.316213,14.316212,14.488230,14.488258,14.488586,14.488341,14.490096,14.490135,14.084001,14.094560,14.094690,14.094687,14.100594
2001,15.409317,15.306598,15.306582,15.306582,15.333898,15.279951,15.180437,15.180437,15.183675,15.168501,15.168500,15.376643,15.377446,15.376996,15.376743,15.378361,15.378404,15.283891,15.298188,15.298306,15.298304,15.304730
2002,15.473753,15.383568,15.392037,15.392037,15.417644,15.437483,15.338921,15.338921,15.342159,15.330723,15.330722,15.537483,15.537506,15.537834,15.537588,15.539448,15.539490,15.557078,15.574455,15.574543,15.574543,15.580761
