"Year","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1986,,,-1.589253,-1.589253,-1.589253,-1.589253,-8.106769,-7.689869,-7.689869,-9.193318,-1.539772,-3.659010,-4.628087,-4.850474,-4.588509,-4.902347,-4.805917,-4.886644,-4.844443,-4.859371,-4.846808,-4.822320
1987,,,-2.016347,-2.016347,-2.016347,-2.016347,-8.071072,-7.680288,-7.680288,-9.169772,-1.535344,-3.649398,-4.632558,-4.876497,-4.618499,-4.919019,-4.822589,-4.911966,-4.861071,-4.872627,,
1988,,,-2.178226,-2.178226,-2.178226,-2.178226,-8.006796,-7.650950,-7.653245,-9.135065,-1.525010,-3.587833,-4.585057,-4.832858,-4.587772,-4.869293,-4.772863,-4.878725,-4.812821,-4.818089,,
1989,,,-2.673222,-2.673222,-2.673222,-2.673222,-7.991086,-7.651782,-7.652228,-9.115311,-1.522513,-3.491984,-4.503272,-4.772202,-4.527568,-4.795784,-4.699354,-4.808107,-4.737772,-4.741189,,
1990,-4.338583,-4.338583,-3.185747,-3.185747,-3.185747,-3.185747,-7.939016,-7.287118,-7.295184,-9.061321,-1.501099,-3.205185,-4.230543,-4.508113,-4.263929,-4.515678,-4.419248,-4.479659,-4.444336,-4.463879,-4.451343,-4.426856
1991,-4.751083,-4.751083,-3.923947,-3.923947,-3.923947,-3.923947,-7.895245,-7.271008,-7.279474,-9.037214,-1.495326,-3.083549,-4.390595,-3.934372,-3.582092,-3.015743,-2.987614,-4.843367,-4.797950,-4.816615,-4.803823,-4.779336
1992,-5.088417,-5.088417,-3.940997,-3.940997,-3.940997,-3.940997,-7.900994,-7.304421,-7.318355,-9.032430,-1.501323,-3.051363,-4.485101,-4.075834,-3.612931,-3.001189,-2.950348,-4.986720,-4.920049,-4.931937,-4.918993,-4.894505
1993,-5.174583,-5.174583,-4.422970,-4.422970,-4.422970,-4.422970,-7.922840,-7.352261,-7.352261,-9.028496,-1.508836,-3.025127,-4.585569,-4.211080,-3.637539,-2.985518,-2.911964,-4.903081,-4.890608,-4.934672,-4.921575,-4.897087
1994,-5.332250,-5.332250,-4.397267,-4.397267,-4.397267,-4.397267,-7.909912,-7.347139,-7.347139,-9.004704,-1.503763,-3.074811,-4.761052,-4.534391,-3.850241,-3.168283,-3.072017,-5.132020,-5.087863,-5.119864,-5.106578,-5.082090
1995,-5.675083,-5.675083,-4.905241,-4.905241,-4.905241,-4.905241,-7.891423,-7.303256,-7.318100,-8.972016,-1.493031,-3.072687,-4.885628,-4.773227,-3.978445,-3.256908,-3.137930,-5.296406,-5.197598,-5.203284,-5.189403,-5.164915
1996,-5.561417,-5.561417,-4.795420,-4.795420,-4.795420,-4.795420,-7.876361,-7.291541,-7.298452,-8.942644,-1.484215,-5.802055,-7.508195,-5.329403,-4.415676,-4.000747,-3.919728,-5.866821,-5.766356,-5.776264,-5.764839,-5.740351
1997,-5.561417,-5.561417,-4.327674,-4.327674,-4.327674,-4.327674,-7.870016,-7.258690,-7.275193,-8.910526,-1.475724,-5.704094,-7.543503,-5.465676,-4.437456,-3.999128,-3.895275,-6.070277,-5.971329,-5.987668,-5.978360,-5.953872
1998,-5.561417,-5.561417,-4.749820,-4.749820,-4.749820,-4.749820,-7.758264,-7.139269,-7.215097,-8.865993,-1.454181,-5.755749,-7.728411,-5.742729,-4.600124,-4.138270,-4.011583,-6.182558,-6.099433,-6.131725,-6.124764,-6.100276
1999,-5.561417,-5.561417,-5.076991,-5.076991,-5.076991,-5.076991,-7.854417,-7.242504,-7.259739,-8.867256,-1.468003,-5.718277,-7.824187,-5.925277,-4.668300,-4.183384,-4.033863,-6.272143,-6.152079,-6.166703,-6.162737,-6.138249
2000,-5.561417,-5.561417,-5.175161,-5.175161,-5.175161,-5.175161,-8.660034,-7.259866,-7.280714,-9.902302,-5.367659,-5.749813,-7.988952,-6.166912,-4.795452,-4.287570,-4.115216,-6.401589,-6.259234,-6.264894,-6.263002,-6.238514
2001,-5.561417,-5.561417,-5.274607,-5.274607,-5.274607,-5.274607,-8.629258,-8.491073,-8.506877,-9.869707,-5.347746,-7.045263,-9.290925,-7.377093,-5.891284,-5.348141,-5.152952,-6.443943,-6.301455,-6.312990,-6.313243,-6.289494
2002,-5.561417,-5.561417,-5.495681,-5.495681,-5.495681,-5.495681,-8.614563,-8.491231,-8.504088,-9.854252,-5.342421,-7.079406,-9.465096,-7.658105,-6.057810,-5.478080,-5.260058,-7.587191,-7.424825,-7.428406,-7.430855,-7.407844
2003,,-5.561417,-5.318228,-5.318228,-5.318228,-5.318228,-8.266622,-8.202639,-8.288390,-9.735738,-5.244851,-7.027575,-9.114864,-7.435750,-5.853210,-7.195840,-6.969697,-7.098609,-7.044667,-7.126709,-7.115043,-7.092770
2004,,,-5.643721,-5.643721,-5.643721,-5.643721,-8.584097,-8.497041,-8.507001,-9.803372,-5.312472,-7.146201,-9.194188,-7.548699,-5.984045,-7.356704,-7.133359,-7.402970,-7.243025,-7.246549,-7.252176,-7.230641
2005,,,,-5.430370,-5.430370,-5.430370,-8.533371,-8.467876,-8.490502,-9.773901,-5.293686,-7.163071,-9.171944,-7.540036,-5.993271,-7.393112,-7.172564,-7.432303,-7.278153,-7.285307,-7.291430,-7.270682
2006,,,,,-4.733091,-4.733091,-8.300959,-8.282071,-8.349067,-9.694368,-5.226922,-7.143018,-9.115091,-7.487130,-5.958231,-7.383682,-7.165932,-7.341086,-7.250482,-7.304873,-7.281686,-7.261676
2007,,,,,,-5.774354,-8.512795,-8.484269,-8.489025,-9.725663,-4.468339,-5.532461,-7.876924,-7.836150,-6.313912,-7.706638,-7.454788,-7.766167,-7.610856,-7.614138,-7.619180,-7.601205
2008,,,,,,,-8.533446,-8.487204,-8.492442,-9.703393,-4.454223,-5.026367,-7.392627,-6.989400,-5.479577,-6.550804,-6.294806,-7.518997,-7.360698,-7.361080,-7.364767,-7.346716
2009,,,,,,,,-8.465178,-8.477231,-9.673757,-4.437727,-4.963765,-7.310014,-6.917097,-5.419677,-6.493701,-6.233602,-7.441846,-7.289045,-7.294009,-7.296418,-7.278513
2010,,,,,,,,,-8.575946,-9.652147,-4.432641,-4.901557,-7.227771,-6.843369,-5.358385,-6.434515,-6.170333,-7.383036,-7.218302,-7.219738,-7.221000,-7.203228
2011,,,,,,,,,,-9.620117,-4.414320,-4.825793,-7.089673,-6.694428,-5.333746,-6.331968,-6.086161,-7.261541,-7.119157,-7.119441,-7.119079,-7.102851
2012,,,,,,,,,,,-4.375112,-4.774501,-6.976247,-6.567723,-5.331236,-6.250357,-6.022702,-7.126012,-7.021916,-7.058572,-7.044679,-7.028431
2013,,,,,,,,,,,,-4.759724,-6.899399,-5.747834,-4.822822,-6.349546,-7.366845,-5.593402,-5.460278,-5.355057,-5.352953,-5.330073
2014,,,,,,,,,,,,,-6.910552,-5.744105,-4.954690,-5.177618,-0.000509,0.436726,0.562111,0.663465,0.422070,0.444089
2015,,,,,,,,,,,,,,-5.664392,-5.012252,-3.946580,-0.044731,0.552664,0.665210,0.764799,0.519373,0.540906
2016,,,,,,,,,,,,,,,-5.025083,-2.434889,0.107387,0.739736,0.826444,0.913952,0.667490,0.689078
2017,,,,,,,,,,,,,,,,-1.552978,-0.208130,0.887699,0.966212,0.907982,0.664227,0.685809
2018,,,,,,,,,,,,,,,,,0.213278,0.944524,1.021982,1.006408,0.763429,0.785261
2019,,,,,,,,,,,,,,,,,,-0.131965,-4.925876,-3.383773,-0.681264,-4.564274
2020,,,,,,,,,,,,,,,,,,,-4.771515,-3.180604,-0.436870,-4.372411
2021,,,,,,,,,,,,,,,,,,,,-3.142373,-0.359772,-4.353090
2022,,,,,,,,,,,,,,,,,,,,,-0.221251,-4.266053
2023,,,,,,,,,,,,,,,,,,,,,,-4.323366
