"Year","Process","Heat"
1990,491611.110961,281094.124469
1991,503292.697962,287773.439475
1992,524373.701748,299827.166842
1993,547360.512827,312970.599508
1994,584491.672156,334201.508430
1995,617487.551990,353067.941157
1996,630282.781373,360384.016243
1997,655185.759428,374623.077682
1998,654131.484615,374020.262878
1999,685045.321309,391696.221915
2000,715308.320587,409000.044177
2001,747072.230355,427162.059247
2002,775575.521852,443459.713204
2003,854268.513670,488454.907868
2004,892106.758589,510090.115230
2005,962346.011771,550251.618777
2006,1043332.036462,596557.927152
2007,1121862.040388,641459.928359
2008,1133786.679734,648278.216193
2009,1166631.252649,667058.134427
2010,1247354.295415,713214.074610
2011,1340722.297645,766600.168324
2012,1372859.565230,784975.662476
2013,1436552.607072,821394.163669
2014,1487701.399021,850640.095199
2015,1435430.740409,820752.701098
2016,1469646.882799,840316.857345
2017,1491946.824233,853067.550675
2018,1538716.892555,879809.809166
2019,1608098.209142,919480.760464
2020,1611192.137526,921249.811388
2021,1655513.597267,946592.000861
2022,1589167.239650,908656.382869
2023,1549236.261902,885824.589651
2024,1489707.964021,851787.411888
2025,1476769.982073,844389.713530
