"YYYYMM","Natural gas","Oil","Others"
201911,8.644672,1.503216,
201912,8.669818,1.409220,
202001,8.401175,1.373076,
202002,8.376715,1.311660,
202003,8.050363,1.108584,
202004,8.478548,1.071288,
202005,8.580811,1.272348,
202006,7.900613,1.273824,
202007,8.221895,1.395864,
202008,7.833704,1.487808,
202009,5.635465,1.050444,
202010,7.373827,1.394280,
202011,7.526570,1.345212,
202012,7.503838,1.368612,
202101,7.514811,1.305288,
202102,6.633985,1.057680,
202103,4.948461,0.633564,
202104,7.226820,1.102572,
202105,7.454604,1.172088,
202106,7.161037,1.108836,
202107,7.118050,1.152900,
202108,5.991806,1.016028,
202109,0.370561,0.043884,
202110,6.761283,0.836172,
202111,6.623228,0.900216,
202112,6.505546,0.855288,
202201,6.418212,0.905652,
202202,5.669673,0.813060,
202203,3.654081,0.500652,
202204,2.467368,0.314748,
202205,4.082576,0.506772,
202206,3.949158,0.554976,
202207,3.357079,0.494748,
202208,3.619480,0.497268,
202209,2.434745,0.345924,
202210,3.521914,0.472248,
202211,7.158216,0.937188,
202212,7.846131,1.036152,
202301,7.717574,0.941796,
202302,7.104262,0.910872,
202303,6.927087,0.951084,
202304,6.960984,1.000296,
202305,6.854947,0.999000,
202306,6.484164,0.916596,
202307,6.680922,0.927324,
202308,6.523200,0.903528,
202309,2.439454,0.348264,
202310,6.981940,0.942120,
202311,6.750691,0.920016,
202312,6.821534,0.968688,
202401,6.439956,0.967212,
202402,5.927541,0.860688,
202403,5.735844,0.896184,
202404,5.782892,0.969264,
202405,5.938930,0.932256,
202406,5.867339,0.838224,
202407,5.921935,0.804816,
202408,5.031777,0.779652,
202409,0.917278,0.134460,
202410,4.083115,0.625032,
202411,1.664798,0.239112,
202412,1.776446,0.169488,
202501,1.748409,0.302220,
202502,1.048886,0.229428,
202503,1.308849,0.184500,
202504,1.628883,0.215604,
202505,1.405891,0.268272,
202506,1.274664,0.120780,
