"YYYYMM","Diesel","Natural gas","Flaring","Cold-vent CO2"
201001,0,19.041657,1.811124,0.072026
201002,0,19.583484,1.475322,0.156143
201003,0,24.483621,1.215070,0.000140
201004,0,23.913033,1.903432,0.013309
201005,0,23.520045,1.808396,0.101705
201006,0,25.130193,1.264742,0
201007,0,25.233018,1.108418,0.000109
201008,0,12.671655,1.066476,0.232924
201009,0,13.894458,0.801820,0.081530
201010,0,25.011720,1.282492,0.332581
201011,0,24.392906,1.347746,0
201012,4.823859,23.610642,1.309879,0
201101,0,23.551972,1.297107,0.000395
201102,0,22.616244,1.399982,0.011026
201103,0,24.854521,1.908670,1.197068
201104,0,25.502599,1.315286,0
201105,0,25.455677,1.730550,0.096739
201106,4.043808,24.474858,2.280142,0.623672
201107,0,26.435849,1.716619,0.134594
201108,0,26.362198,1.370731,0.270169
201109,0,19.708865,2.016042,0.204892
201110,0,26.046257,1.699676,0
201111,0,25.035724,1.581137,0
201112,0.071776,25.008104,1.797486,0.021678
201201,0,24.821599,1.785553,0.456046
201202,0,23.064710,1.693156,0.437308
201203,0,22.513923,2.053561,0.266541
201204,0,24.927460,1.315727,0.952912
201205,0,24.782673,1.687304,0.178404
201206,0.023564,23.560446,1.460652,0.124571
201207,0,25.368225,1.419706,0.141365
201208,0,13.368716,1.054906,0
201209,0,16.373541,1.222406,2.488406
201210,0,25.020294,1.441596,0.526443
201211,0,24.563219,1.260212,0
201212,0.085318,24.952017,1.321735,0.266796
201301,0,22.084898,1.800651,1.850399
201302,0,22.447686,1.149040,0.000471
201303,0,25.061134,1.189969,0.002985
201304,0,23.640989,1.645978,0.705975
201305,0,22.798057,1.445440,0.410174
201306,0.059587,23.431716,1.240467,1.093886
201307,0,24.118272,1.519719,0.087180
201308,0,20.240793,1.597320,0.094135
201309,0,20.065608,2.088919,0.879431
201310,0,23.467995,1.333601,0.002034
201311,0,22.763375,1.318601,0.091270
201312,0,23.484322,1.166296,0.108280
201401,0,21.258890,1.922091,0.103039
201402,0,19.899670,1.228877,4.565662
201403,0,23.193745,1.134176,0.133564
201404,0,22.842623,1.163589,0
201405,0,19.867190,1.404272,0.111797
201406,0,20.828752,1.442877,0.198259
201407,0,23.292825,1.314767,0.025689
201408,0,10.983543,0.890939,0.000340
201409,0,20.547303,1.600248,0.574326
201410,0,24.344617,1.789826,0.078040
201411,0,23.493841,1.349330,0.000639
201412,0.083964,24.222928,1.309235,0.001174
201501,0,22.962826,1.231717,0.001552
201502,0,19.450086,1.255175,0.173909
201503,0,25.107498,1.332711,0.082838
201504,0,23.169118,1.194353,0.091258
