"Year","Cars","Light-duty trucks","Heavy-duty trucks/buses"
1990,1.043490,,1.081430
1991,1.041648,,1.093857
1992,1.064673,,1.450404
1993,1.052393,,1.154715
1994,1.081250,,1.130499
1995,1.162605,,1.291407
1996,1.225847,,1.327413
1997,1.199138,,1.286309
1998,1.215102,,1.280255
1999,1.180718,,1.014837
2000,1.122695,,1.387315
2001,1.149097,,1.451360
2002,1.123002,,1.812367
2003,1.006650,,1.730798
2004,1.002045,,2.251121
2005,1.024456,,2.242518
2006,1.099670,,2.883602
2007,1.126993,,2.989068
2008,1.164724,,3.133089
2009,1.410323,,4.014738
2010,1.815070,,4.617905
2011,1.708388,,4.230769
2012,1.870299,,4.165131
2013,2.342034,,4.789328
2014,2.719152,,5.056339
2015,3.330509,,6.177917
2016,3.673304,,6.838118
2017,3.793648,,5.817547
2018,4.046953,,6.514709
2019,4.249173,,6.848633
2020,4.112221,,6.781084
2021,4.557247,,7.239592
2022,4.553532,,7.006674
