"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,"NaN","NaN",1.060000,"NaN",-0.210000,0,"NaN",-0.730000
2021,"NaN","NaN",-0.570000,"NaN",0.640000,0.060000,"NaN",0.450000
2022,"NaN","NaN",-0.660000,"NaN",0.170000,0.200000,"NaN",0.820000
2023,"NaN","NaN",-0.340000,"NaN",-0.140000,0.110000,"NaN",0.230000
2024,"NaN","NaN",0.940000,"NaN",-0.200000,-0.030000,"NaN",-0.650000
