"Year","Kenya","World"
1950,0.157504,2.378734
1951,0.236229,2.515504
1952,0.263547,2.502896
1953,0.244681,2.524970
1954,0.267763,2.527923
1955,0.304068,2.716614
1956,0.329926,2.835461
1957,0.328565,2.869636
1958,0.290962,2.891376
1959,0.297479,2.985590
1960,0.315016,3.112931
1961,0.300282,3.071906
1962,0.315933,3.120741
1963,0.330652,3.215595
1964,0.314620,3.315825
1965,0.263857,3.391959
1966,0.275791,3.484865
1967,0.266880,3.523155
1968,0.267655,3.640223
1969,0.285791,3.802135
1970,0.270760,4.032588
1971,0.312027,4.112597
1972,0.316615,4.219747
1973,0.309592,4.355556
1974,0.377974,4.253289
1975,0.367440,4.173319
1976,0.329340,4.310191
1977,0.349399,4.352449
1978,0.355440,4.432504
1979,0.324991,4.465701
1980,0.385590,4.364099
1981,0.391825,4.168842
1982,0.271520,4.060496
1983,0.259891,4.023942
1984,0.232144,4.068703
1985,0.195437,4.137420
1986,0.207828,4.122175
1987,0.249614,4.179654
1988,0.222968,4.262697
1989,0.233487,4.241189
1990,0.252869,4.266701
1991,0.203191,4.282473
1992,0.225765,4.090168
1993,0.251288,4.068620
1994,0.252259,4.047994
1995,0.282511,4.083544
1996,0.339490,4.148108
1997,0.292748,4.114970
1998,0.346112,4.044522
1999,0.337013,4.079117
2000,0.338901,4.133621
2001,0.291709,4.107635
2002,0.239631,4.144280
2003,0.199575,4.307030
2004,0.219550,4.399256
2005,0.236173,4.493561
2006,0.259236,4.585831
2007,0.255914,4.661509
2008,0.257576,4.682571
2009,0.301538,4.545518
2010,0.285030,4.744937
2011,0.285736,4.848876
2012,0.256237,4.854014
2013,0.270367,4.837742
2014,0.286949,4.804597
2015,0.323056,4.739116
2016,0.338363,4.682487
2017,0.328899,4.705259
2018,0.338654,4.752195
2019,0.354646,4.747814
2020,0.382815,4.457744
2021,0.386887,4.634748
2022,0.378681,4.678452
2023,0.382835,4.707772
2024,0.376118,4.729075
