"Year","Thailand","World"
1950,0.046779,2.378734
1951,0.052021,2.515504
1952,0.059353,2.502896
1953,0.074357,2.524970
1954,0.090268,2.527923
1955,0.101645,2.716614
1956,0.109102,2.835461
1957,0.118430,2.869636
1958,0.118946,2.891376
1959,0.127307,2.985590
1960,0.138147,3.112931
1961,0.149781,3.071906
1962,0.176558,3.120741
1963,0.189636,3.215595
1964,0.247221,3.315825
1965,0.239007,3.391959
1966,0.295179,3.484865
1967,0.367967,3.523155
1968,0.502413,3.640223
1969,0.415988,3.802135
1970,0.427268,4.032588
1971,0.520144,4.112597
1972,0.573922,4.219747
1973,0.625379,4.355556
1974,0.603621,4.253289
1975,0.592425,4.173319
1976,0.681779,4.310191
1977,0.744040,4.352449
1978,0.793808,4.432504
1979,0.813884,4.465701
1980,0.870766,4.364099
1981,0.806008,4.168842
1982,0.786554,4.060496
1983,0.862902,4.023942
1984,0.914956,4.068703
1985,0.952147,4.137420
1986,0.956856,4.122175
1987,1.033419,4.179654
1988,1.146536,4.262697
1989,1.331426,4.241189
1990,1.581401,4.266701
1991,1.708289,4.282473
1992,1.866542,4.090168
1993,2.122607,4.068620
1994,2.349262,4.047994
1995,2.599909,4.083544
1996,2.896623,4.148108
1997,2.984010,4.114970
1998,2.595858,4.044522
1999,2.684386,4.079117
2000,2.656054,4.133621
2001,2.706422,4.107635
2002,2.873436,4.144280
2003,2.945786,4.307030
2004,3.167673,4.399256
2005,3.246494,4.493561
2006,3.242184,4.585831
2007,3.339412,4.661509
2008,3.316316,4.682571
2009,3.359257,4.545518
2010,3.514449,4.744937
2011,3.548588,4.848876
2012,3.778260,4.854014
2013,3.776263,4.837742
2014,3.880686,4.804597
2015,3.928205,4.739116
2016,4.008554,4.682487
2017,3.981828,4.705259
2018,4.039237,4.752195
2019,3.941114,4.747814
2020,3.795613,4.457744
2021,3.724407,4.634748
2022,3.799709,4.678452
2023,3.692116,4.707772
2024,3.736119,4.729075
