"Year","Electricity generation","Food processing, beverages and tobacco","Cars","Residential: Stationary combustion","All other Manufacturing industries and construction","All others"
2020,33.586047,22.009668,6.704223,17.476542,7.316839,0.382248
2021,36.353418,16.505003,6.219549,14.747580,6.045645,0.365812
2022,40.137492,20.421518,6.600167,15.053865,6.891931,0.366055
