"Year","Thailand","World"
1950,0,2.378734
1951,0,2.515504
1952,0.000204,2.502896
1953,0.000050,2.524970
1954,0.000291,2.527923
1955,0.001979,2.716614
1956,0.004034,2.835461
1957,0.004325,2.869636
1958,0.004467,2.891376
1959,0.005636,2.985590
1960,0.004964,3.112931
1961,0.004572,3.071906
1962,0.005672,3.120741
1963,0.005616,3.215595
1964,0.004323,3.315825
1965,0.004879,3.391959
1966,0.006021,3.484865
1967,0.011561,3.523155
1968,0.010145,3.640223
1969,0.011113,3.802135
1970,0.012975,4.032588
1971,0.014185,4.112597
1972,0.010424,4.219747
1973,0.010605,4.355556
1974,0.013753,4.253289
1975,0.014383,4.173319
1976,0.016323,4.310191
1977,0.014521,4.352449
1978,0.016962,4.432504
1979,0.032817,4.465701
1980,0.035222,4.364099
1981,0.053646,4.168842
1982,0.115625,4.060496
1983,0.141343,4.023942
1984,0.208262,4.068703
1985,0.354467,4.137420
1986,0.368983,4.122175
1987,0.441892,4.179654
1988,0.493622,4.262697
1989,0.525456,4.241189
1990,0.623812,4.266701
1991,0.732342,4.282473
1992,0.783121,4.090168
1993,0.827097,4.068620
1994,0.888113,4.047994
1995,0.915880,4.083544
1996,1.040066,4.148108
1997,1.185461,4.114970
1998,1.168147,4.044522
1999,1.207579,4.079117
2000,1.295196,4.133621
2001,1.321104,4.107635
2002,1.373375,4.144280
2003,1.426410,4.307030
2004,1.453804,4.399256
2005,1.596569,4.493561
2006,1.609874,4.585831
2007,1.653492,4.661509
2008,1.750700,4.682571
2009,1.742944,4.545518
2010,1.879399,4.744937
2011,1.952920,4.848876
2012,2.062970,4.854014
2013,2.053524,4.837742
2014,2.034946,4.804597
2015,1.967122,4.739116
2016,1.998144,4.682487
2017,1.919521,4.705259
2018,1.837340,4.752195
2019,1.848750,4.747814
2020,1.676848,4.457744
2021,1.608799,4.634748
2022,1.333378,4.678452
2023,1.321013,4.707772
2024,1.446768,4.729075
