"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2020,0.990000,-7.970000,-1.750000,"NaN",-0.350000,-0.260000,"NaN",-0.620000
2021,-0.760000,-0.750000,-0.010000,"NaN",1.010000,-0.650000,"NaN",1
2022,-0.550000,1.520000,2.050000,"NaN",-1.300000,0.730000,"NaN",1.550000
2023,-5.080000,14.760000,0,"NaN",0.740000,0.120000,"NaN",-0.410000
2024,2.850000,6.970000,-0.180000,"NaN",0.060000,0.750000,"NaN",-1.390000
