"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,29.561062,9.456825,0.889047,0.170969,2.367590,0.035530
2001,31.088717,9.659697,0.995248,0.177318,2.934110,0.037138
2002,34.082848,10.424152,1.058889,0.253362,3.025932,0.044584
2003,40.619011,11.645144,1.230290,0.434227,2.961746,0.057104
2004,47.359009,13.599979,1.439423,0.502409,3.667647,0.064422
2005,55.458382,13.818554,1.691104,0.525135,4.092566,0.112054
2006,60.906174,14.820369,2.080215,0.539084,4.463955,0.164202
2007,66.326088,15.528843,2.558804,0.606895,4.939713,0.218127
2008,67.377312,15.869130,2.949585,0.663933,6.443621,0.370087
2009,70.578072,16.489075,3.248065,0.675815,6.189539,0.591472
2010,73.225952,18.772165,3.919466,0.716654,7.108200,0.857756
2011,79.716972,19.406641,4.865863,0.831007,6.833083,1.157962
2012,80.720490,20.355478,5.431593,0.931286,8.516613,1.491586
2013,82.447670,21.266891,6.187627,1.049789,8.924664,1.992592
2014,82.096931,22.113060,6.781073,1.246743,10.334910,2.451916
2015,80.384552,23.795624,7.008823,1.594330,10.804893,2.901331
2016,78.032806,24.564882,7.539879,1.971463,11.114426,3.776309
2017,78.895599,25.859419,8.685079,2.280919,11.162074,5.054691
2018,80.467728,27.103468,10.221336,2.696237,11.418941,6.367010
2019,82.520050,28.409437,11.101566,3.175292,12.075750,7.396665
2020,84.249191,28.654800,12.118221,3.322399,12.496284,8.536469
2021,87.535713,29.426741,13.689646,3.683568,12.246048,11.267505
2022,87.832008,29.514212,13.595310,3.762721,12.183764,13.370720
2023,91.938675,32.725838,14.574172,3.901065,11.464998,16.134484
