"Year","Cumulative","Territorial","Consumption","Population","GDP-MER","GDP-PPP"
1,14.442521,32.176114,28.116040,18.028073,18.127854,18.618396
2,24.375987,13.276995,15.056886,4.260779,23.825637,15.656169
3,3.300770,8.278402,6.623239,17.796325,3.223084,7.005243
4,16.801959,6.786981,9.431813,5.626938,16.889095,14.785641
5,41.078764,39.481509,40.772021,54.287885,37.934331,43.934550
