"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,22.631531,38.357792,22.622065,8.106376,2.903589,0.945097
2001,21.964737,38.312729,21.623688,8.213268,2.223506,0.968154
2002,21.954435,38.310604,22.324003,8.279556,2.712775,1.088797
2003,22.372334,38.903957,21.678843,8.054253,2.818618,1.151100
2004,22.517937,40.317970,21.766598,8.262779,2.723728,1.247814
2005,22.849045,40.379433,21.426947,8.142365,2.746414,1.341028
2006,22.498857,39.861912,21.116800,8.145293,2.924958,1.572046
2007,22.801859,39.616848,22.468979,8.291867,2.474051,1.786555
2008,22.438997,36.991547,22.640083,8.238154,2.539713,2.217605
2009,19.736555,35.072067,22.234612,8.112621,2.729929,2.512111
2010,20.881950,35.614475,23.334965,8.144742,2.570710,2.885928
2011,19.703056,34.911289,23.695589,7.926912,3.139192,3.248680
2012,17.418257,34.099525,24.772421,7.670752,2.704942,3.504625
2013,18.080177,34.662354,25.452822,7.819635,2.615255,3.992820
2014,18.039082,34.894657,26.001377,7.853094,2.494272,4.302805
2015,15.584680,35.608002,26.768862,7.806465,2.389289,4.533438
2016,14.258668,35.875713,26.967562,7.843174,2.541979,5.130288
2017,13.869333,36.225327,26.639721,7.789835,2.843597,5.598032
2018,13.282051,37.093544,29.590677,7.764820,2.757516,5.879746
2019,11.341656,37.035660,30.635998,7.758474,2.708946,6.201846
2020,9.202253,32.527153,30.043787,7.543456,2.673588,6.651296
2021,10.572820,35.528347,30.111296,7.418466,2.345239,7.468412
2022,9.910711,35.750114,31.665119,7.314550,2.358374,8.416627
2023,8.196725,35.858383,31.912819,7.323963,2.209978,8.779252
