"Year","USA","OECD Europe","Japan","Rest of OECD","China","India","Russia","Rest of Non-OECD","Bunkers"
1959,2.831923,2.440047,0.192920,0.399350,0.720152,0.101447,0.849739,1.105741,0.213369
1960,2.897315,2.635077,0.232830,0.420901,0.798800,0.111325,0.884702,1.167888,0.238173
1961,2.886873,2.734120,0.283131,0.429998,0.570630,0.120404,0.912373,1.214196,0.263316
1962,2.993902,2.884899,0.293278,0.456316,0.459618,0.132582,0.957589,1.296079,0.273024
1963,3.126487,3.049424,0.325264,0.476509,0.456779,0.142444,1.026974,1.377069,0.285821
1964,3.264314,3.173440,0.359349,0.525912,0.460637,0.139488,1.092213,1.495986,0.313126
1965,3.399547,3.212679,0.386969,0.561087,0.500286,0.153702,1.158639,1.614243,0.323448
1966,3.571421,3.286723,0.419780,0.587964,0.549459,0.159373,1.223581,1.714351,0.349994
1967,3.705461,3.308495,0.489912,0.634471,0.460226,0.159556,1.279439,1.825339,0.374471
1968,3.840920,3.488235,0.562561,0.675458,0.495507,0.174069,1.315396,1.957042,0.396097
1969,4.035145,3.692976,0.653846,0.707682,0.607683,0.177413,1.369898,2.102484,0.414657
1970,4.339686,3.858613,0.769740,0.784278,0.807953,0.181723,1.440773,2.279227,0.437131
1971,4.365465,3.951524,0.799643,0.825890,0.909210,0.191964,1.528955,2.469591,0.461612
1972,4.573015,4.064350,0.861046,0.875026,0.968646,0.203036,1.608655,2.578570,0.492252
1973,4.785434,4.236297,0.914262,0.928466,1.008293,0.209095,1.676593,2.799940,0.526712
1974,4.621419,4.159456,0.914303,0.949286,1.028100,0.215853,1.740437,2.892962,0.489257
1975,4.478563,4.059479,0.869796,0.979679,1.183215,0.234209,1.829452,2.970531,0.447828
1976,4.748111,4.321079,0.909555,1.021759,1.226421,0.244749,1.899911,3.178413,0.439114
1977,4.889953,4.283122,0.935530,1.073568,1.340831,0.258962,1.964534,3.302831,0.449303
1978,4.941709,4.391566,0.905064,1.124805,1.492778,0.263150,2.032002,3.462184,0.456034
1979,5.008956,4.539148,0.957130,1.191222,1.525661,0.276285,2.048855,3.604061,0.457702
1980,4.808877,4.436905,0.948535,1.234785,1.494496,0.291711,2.129468,3.697097,0.446650
1981,4.686743,4.196698,0.930369,1.254224,1.476488,0.314966,2.088923,3.662172,0.412321
1982,4.447602,4.083200,0.900713,1.273562,1.606585,0.325380,2.128305,3.732484,0.373267
1983,4.429711,4.035903,0.884420,1.246040,1.694217,0.352199,2.158492,3.832537,0.358392
1984,4.662488,4.068727,0.940528,1.290369,1.844828,0.361559,2.177659,3.941952,0.359691
1985,4.652938,4.148719,0.915263,1.325961,1.998083,0.397592,2.348536,4.157407,0.367402
1986,4.663712,4.136825,0.914048,1.336531,2.104213,0.426309,2.348928,4.290735,0.393661
1987,4.826013,4.158501,0.902178,1.411665,2.257739,0.455343,2.357920,4.353265,0.527451
1988,5.050858,4.121826,0.984697,1.474298,2.425894,0.491692,2.436936,4.553457,0.545472
1989,5.132543,4.167182,1.021278,1.548899,2.463654,0.540651,2.404826,4.542442,0.565162
1990,5.120957,4.270195,1.157393,1.609087,2.484855,0.577996,2.536248,4.420723,0.551534
1991,5.062957,4.267218,1.169093,1.646091,2.606096,0.615365,2.406756,4.866080,0.546446
1992,5.174228,4.140315,1.178892,1.711931,2.730788,0.655447,1.966505,4.412586,0.557481
1993,5.272851,4.062738,1.171892,1.765384,2.921651,0.677299,1.866729,4.456187,0.561055
1994,5.364279,4.043961,1.226893,1.832708,3.103739,0.714064,1.647665,4.471361,0.588277
1995,5.425260,4.077140,1.239195,1.876046,3.361637,0.760462,1.619727,4.551860,0.620757
1996,5.612983,4.181413,1.251695,1.975918,3.508818,0.823621,1.586822,4.644748,0.672150
1997,5.688143,4.102423,1.244395,2.074148,3.515594,0.858011,1.482245,4.729913,0.707034
1998,5.733281,4.115681,1.204594,2.049200,3.364588,0.875772,1.465253,4.745394,0.750013
1999,5.803918,4.075473,1.241195,2.100850,3.557275,0.960763,1.494179,4.842838,0.777237
2000,6.010136,4.089751,1.263993,2.189874,3.649227,0.986445,1.479142,5.054274,0.787710
2001,5.907740,4.147744,1.249393,2.205676,3.728510,1.000527,1.515647,5.169520,0.781536
2002,5.946308,4.129575,1.278995,2.244682,4.103046,1.032140,1.506788,5.234449,0.800886
2003,6.010145,4.211428,1.287495,2.326088,4.841119,1.067737,1.537018,5.555198,0.833262
2004,6.112655,4.223390,1.282895,2.352301,5.217351,1.133828,1.543957,5.858990,0.907139
2005,6.132183,4.211885,1.290296,2.407983,5.882106,1.194592,1.562577,5.989915,0.942856
2006,6.052686,4.222110,1.267295,2.453740,6.494331,1.292485,1.623002,6.228688,0.994059
2007,6.130123,4.154280,1.302996,2.538498,6.983547,1.392506,1.623781,6.357509,1.051403
2008,5.915118,4.068049,1.232196,2.547858,7.501498,1.489438,1.652065,6.606380,1.061598
2009,5.480726,3.748643,1.163393,2.509077,7.891078,1.612216,1.545034,6.568788,1.022966
2010,5.679715,3.866347,1.214798,2.585008,8.620576,1.677337,1.632783,6.998028,1.081311
2011,5.546116,3.709307,1.264797,2.680444,9.532332,1.764712,1.685910,7.211526,1.109395
2012,5.344086,3.667947,1.305998,2.733819,9.779292,1.925700,1.701268,7.444045,1.097865
2013,5.480157,3.595153,1.315298,2.721055,9.956329,1.995098,1.640437,7.484031,1.114098
2014,5.528681,3.413471,1.263806,2.711770,9.990257,2.148344,1.639959,7.633992,1.119814
2015,5.376473,3.452482,1.223199,2.751675,9.863457,2.234220,1.638675,7.707754,1.156963
2016,5.252932,3.431484,1.203184,2.773576,9.762714,2.354658,1.634885,7.830417,1.172806
2017,5.212162,3.436094,1.187484,2.806573,10.006343,2.426607,1.666121,8.038607,1.209906
2018,5.377797,3.364740,1.142481,2.830181,10.332992,2.593058,1.712494,8.129590,1.247093
2019,5.262145,3.206983,1.105478,2.804386,10.713985,2.612888,1.705031,8.442603,1.250779
2020,4.714628,2.896603,1.040483,2.635126,10.905693,2.421552,1.632929,8.025670,0.853840
2021,5.032213,3.080083,1.061905,2.723899,11.447913,2.674222,1.711993,8.365887,0.893621
2022,5.078871,2.984615,1.032687,2.720940,11.350538,2.831166,1.802190,8.472746,1.020083
2023,4.911391,2.760315,0.988785,2.704802,11.902503,3.062324,1.815925,8.528953,1.116569
