"Year","Cement emissions","Cement carbonation"
1959,0.145245,-0.045954
1960,0.157394,-0.050131
1961,0.164145,-0.053303
1962,0.176367,-0.057451
1963,0.185984,-0.061017
1964,0.206155,-0.066758
1965,0.216437,-0.070468
1966,0.233017,-0.075635
1967,0.239892,-0.079350
1968,0.255287,-0.085040
1969,0.270616,-0.090252
1970,0.288253,-0.095738
1971,0.303110,-0.101126
1972,0.321341,-0.110177
1973,0.340285,-0.117869
1974,0.340749,-0.120641
1975,0.340040,-0.123090
1976,0.356223,-0.130151
1977,0.372886,-0.138817
1978,0.398050,-0.148414
1979,0.403866,-0.153745
1980,0.406269,-0.158246
1981,0.406283,-0.161376
1982,0.404280,-0.164296
1983,0.413445,-0.169657
1984,0.421227,-0.174809
1985,0.425773,-0.179691
1986,0.442333,-0.188208
1987,0.459055,-0.196906
1988,0.482906,-0.208495
1989,0.493234,-0.207951
1990,0.494369,-0.205646
1991,0.508293,-0.218109
1992,0.529372,-0.220922
1993,0.552208,-0.235971
1994,0.589438,-0.248694
1995,0.623497,-0.262008
1996,0.636372,-0.271919
1997,0.662360,-0.282064
1998,0.660075,-0.284866
1999,0.692680,-0.294998
2000,0.723999,-0.306079
2001,0.757358,-0.315505
2002,0.785215,-0.331676
2003,0.863574,-0.356416
2004,0.902594,-0.381294
2005,0.968292,-0.407294
2006,1.055835,-0.443412
2007,1.133996,-0.477668
2008,1.148988,-0.493397
2009,1.182037,-0.518501
2010,1.263143,-0.550623
2011,1.358844,-0.596203
2012,1.394763,-0.620094
2013,1.454628,-0.649368
2014,1.502477,-0.677591
2015,1.451157,-0.681280
2016,1.490399,-0.688846
2017,1.509493,-0.703754
2018,1.554511,-0.726189
2019,1.623120,-0.738601
2020,1.638271,-0.757927
2021,1.696308,-0.793119
2022,1.601124,-0.796881
2023,1.569346,-0.784276
2024,1.529321,-0.771648
