"Year","China","USA","India","EU27","Russia","Japan","World"
1950,0.144923,17.139592,0.171146,3.881001,4.046213,1.215617,2.372741
1951,0.184452,17.388702,0.175440,4.312996,4.319012,1.440857,2.509281
1952,0.226566,16.680990,0.180769,4.453584,4.553366,1.500521,2.496828
1953,0.231707,16.808948,0.180220,4.502997,4.740885,1.656898,2.519009
1954,0.272703,15.735586,0.185804,4.751229,5.095854,1.601480,2.522133
1955,0.315788,16.932928,0.197672,5.100076,5.687040,1.576599,2.710743
1956,0.350203,17.432252,0.200307,5.420311,6.135141,1.766863,2.829705
1957,0.406006,16.985847,0.219783,5.549810,6.607853,2.050211,2.864250
1958,0.814886,16.145486,0.224764,5.460341,6.945081,1.957683,2.886446
1959,1.104223,16.338840,0.232730,5.498758,7.196492,2.061645,2.981084
1960,1.221088,16.444399,0.249633,5.902046,7.388824,2.464722,3.109071
1961,0.870845,16.119921,0.263841,6.131532,7.514872,2.969220,3.068418
1962,0.691556,16.457443,0.283886,6.509258,7.790687,3.046481,3.117449
1963,0.667900,16.931977,0.298042,6.890479,8.266864,3.344732,3.212604
1964,0.653763,17.430369,0.285217,7.189677,8.710237,3.654918,3.313059
1965,0.691150,17.920337,0.307334,7.219401,9.166402,3.890363,3.389338
1966,0.739566,18.617542,0.311890,7.381393,9.612247,4.178292,3.482441
1967,0.604760,19.121758,0.305670,7.489494,9.986900,4.825395,3.521091
1968,0.634962,19.622215,0.326320,7.893996,10.210925,5.471358,3.638560
1969,0.758248,20.394011,0.325341,8.364462,10.579228,6.280813,3.800910
1970,0.982272,21.662866,0.325959,8.678513,11.074947,7.301872,4.031813
1971,1.078176,21.514514,0.336779,8.867952,11.696441,7.488044,4.112250
1972,1.122624,22.281481,0.348358,9.143084,12.237172,7.956415,4.219880
1973,1.143640,23.082939,0.350767,9.526825,12.683050,8.335765,4.358162
1974,1.143136,22.082682,0.354019,9.419083,13.088900,8.229544,4.257539
1975,1.292955,21.197836,0.375622,9.180782,13.668758,7.737601,4.190445
1976,1.319618,22.263379,0.383950,9.824562,14.098009,8.004898,4.342568
1977,1.422510,22.697792,0.397372,9.679238,14.475750,8.151948,4.387958
1978,1.562891,22.680724,0.394961,9.959484,14.869127,7.815111,4.445411
1979,1.575610,22.720153,0.405557,10.188135,14.899646,8.197028,4.491730
1980,1.521313,21.550941,0.418627,10.056067,15.402200,8.064115,4.385349
1981,1.480545,20.769599,0.441829,9.490284,15.027909,7.858792,4.204303
1982,1.585211,19.506905,0.446234,9.233244,15.218702,7.562782,4.095304
1983,1.646106,19.227014,0.472226,9.100726,15.324311,7.382855,4.047822
1984,1.766785,20.030773,0.473931,9.159898,15.347241,7.807105,4.114002
1985,1.884557,19.787427,0.509575,9.274160,16.435234,7.556726,4.177916
1986,1.952376,19.635624,0.534303,9.211994,16.306736,7.510029,4.164586
1987,2.058381,20.120696,0.558213,9.262751,16.226602,7.378640,4.215461
1988,2.173954,20.846523,0.589750,9.141990,16.638418,8.018820,4.303169
1989,2.171740,20.953082,0.634558,9.202281,16.321440,8.284843,4.285587
1990,2.153806,20.642052,0.664018,9.246808,17.136149,9.357487,4.275440
1991,2.226241,20.126224,0.692244,9.062547,16.211978,9.422547,4.288762
1992,2.306772,20.277146,0.722197,8.734694,13.222369,9.473221,4.101485
1993,2.443147,20.375824,0.731147,8.546882,12.537027,9.391701,4.079975
1994,2.570838,20.452991,0.755414,8.483642,11.070849,9.805789,4.061836
1995,2.759638,20.421773,0.788632,8.578108,10.903035,9.879260,4.097368
