"Year","population","Emissions/population"
1,1.428628,2.143543
2,1.425671,8.348701
3,0.448922,5.592555
4,0.339997,14.445414
5,0.277534,2.641924
6,0.240486,0.834423
7,0.223805,0.574339
8,0.216422,2.247780
9,0.172954,0.655820
10,0.144444,12.571794
