"Year","Coal","Oil","Gas","Cement","Flaring"
2000,9.202369,10.270908,4.749870,0.723999,0.347079
2001,9.256887,10.348483,4.794540,0.757358,0.335684
2002,9.681149,10.332214,4.937363,0.785215,0.324631
2003,10.518779,10.603272,5.118302,0.863574,0.344523
2004,10.872461,10.998771,5.284549,0.902594,0.342562
2005,11.547437,11.105975,5.402538,0.968292,0.347888
2006,12.194091,11.221007,5.556997,1.055835,0.347505
2007,12.784673,11.252843,5.760267,1.133996,0.343250
2008,13.201743,11.202105,5.926722,1.148988,0.334722
2009,13.045025,10.956533,5.783895,1.182037,0.330398
2010,13.954141,11.323284,6.227937,1.263143,0.341242
2011,14.737899,11.361404,6.412035,1.358844,0.359290
2012,14.906987,11.494373,6.550136,1.394763,0.377063
2013,15.001508,11.577866,6.587851,1.454628,0.385277
2014,15.017948,11.606368,6.631221,1.502477,0.386700
2015,14.667684,11.831668,6.766760,1.451157,0.384005
2016,14.336130,11.962950,6.952650,1.490399,0.374031
2017,14.513114,12.149412,7.127798,1.509493,0.387279
2018,14.746245,12.249189,7.470226,1.554511,0.407099
2019,14.694929,12.411968,7.633772,1.623120,0.435263
2020,14.266885,10.960690,7.564561,1.638271,0.401057
2021,15.134601,11.530971,7.922980,1.696308,0.405431
2022,15.185965,11.909615,7.892689,1.601124,0.403013
2023,15.401220,12.208835,7.900098,1.569346,0.410940
2024,15.557290,12.355214,8.136852,1.532993,0.416885
