"Year","deforestation_tot mean","deforestation_tot min","deforestation_tot max","forest_regrowth_tot mean","forest_regrowth_tot min","forest_regrowth_tot max","wood_harvest mean","wood_harvest min","wood_harvest max","other_transitions mean","other_transitions min","other_transitions max","peat_emissions mean","peat_emissions min","peat_emissions max"
1959,7.503597,4.647198,10.522348,-3.018403,-4.228842,-2.057189,0.802984,-0.776805,1.839145,1.608661,1.398329,1.800929,0.846848,0.524392,1.070877
1960,6.745891,4.779395,8.862117,-3.051608,-4.221697,-2.086025,0.825701,-0.796297,1.886997,1.529528,1.437460,1.675254,0.656503,0.524392,0.768341
1961,6.718375,4.849597,8.879851,-3.063131,-4.203158,-2.115630,0.866096,-0.814361,1.982664,1.481667,1.470913,1.494839,0.817512,0.524392,1.157751
1962,6.539205,4.923976,8.458051,-3.075699,-4.190297,-2.144283,0.884746,-0.834513,2.030589,1.416878,1.380265,1.479780,0.565551,0.432902,0.739359
1963,6.434891,4.924269,8.252500,-3.086783,-4.176923,-2.172019,0.895766,-0.853968,2.063382,1.322145,1.244991,1.465124,0.595253,0.501382,0.759987
1964,6.273272,4.919909,7.811428,-3.097491,-4.163257,-2.199426,0.914901,-0.860674,2.095148,1.210109,1.124775,1.370996,0.558027,0.358852,0.790838
1965,6.083733,4.809586,7.550991,-3.110480,-4.160106,-2.225807,0.928705,-0.858219,2.114531,1.136939,1.069082,1.298448,0.586203,0.524392,0.689968
1966,5.863801,4.757924,7.128495,-3.123487,-4.140796,-2.251711,0.939633,-0.854078,2.135856,1.019132,0.884196,1.177353,0.523732,0.322432,0.724373
1967,5.842908,4.674971,7.096802,-3.119997,-4.123429,-2.276700,0.944332,-0.844149,2.159708,1.143525,1.048490,1.207508,0.590112,0.496106,0.749838
1968,5.822435,4.629977,7.009562,-3.122699,-4.102104,-2.298134,0.961260,-0.838909,2.185906,1.092550,1.016797,1.179405,0.578863,0.515671,0.696526
1969,6.371998,4.666324,7.950660,-3.133544,-4.063046,-2.321804,0.977793,-0.832168,2.203310,0.995857,0.918528,1.058310,0.623881,0.524392,0.711329
1970,6.215142,4.668009,7.624051,-3.152048,-4.101811,-2.344374,0.992422,-0.831398,2.227382,0.876878,0.631820,1.117740,0.761721,0.524392,1.011447
1971,5.913320,4.658190,7.228999,-3.146176,-4.076823,-2.369106,1.007371,-0.815716,2.244530,0.855617,0.595327,1.134228,0.487972,0.244938,0.694584
1972,6.091024,4.618838,7.761415,-3.157315,-4.053373,-2.390394,1.013472,-0.808791,2.250136,0.851605,0.678316,1.114442,0.591760,0.524392,0.725472
1973,6.017635,4.603486,7.551357,-3.163049,-4.023805,-2.412781,1.020735,-0.796810,2.260835,0.785250,0.551395,1.171381,0.583516,0.524392,0.660546
1974,5.962784,4.558456,7.390874,-3.144692,-3.995262,-2.433299,1.032927,-0.787284,2.254532,0.747822,0.493321,1.193035,0.539548,0.392708,0.701546
1975,5.938190,4.582088,7.239221,-3.152661,-3.970274,-2.453195,1.020149,-0.773837,2.231376,0.747795,0.462433,1.241473,0.505864,0.278757,0.714443
1976,5.876864,4.555854,7.071996,-3.145443,-3.939936,-2.468730,1.038103,-0.779113,2.248414,0.689546,0.347457,1.212454,0.625127,0.524392,0.738919
1977,6.118449,4.499795,7.706161,-3.152725,-3.907912,-2.486647,1.044890,-0.754784,2.265598,0.859309,0.695574,1.242462,0.643838,0.524392,0.725362
1978,6.027042,4.434686,7.542051,-3.154832,-3.893403,-2.505700,1.057037,-0.747090,2.288937,0.849682,0.692459,1.232093,0.634153,0.524392,0.730968
