"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,4.256492,92.833218,11485602.441391,1782568287
1966,4.473740,97.730778,12096888.270604,1819520134
1967,4.717305,102.242811,12662646.260419,1857283995
1968,5.005101,108.625978,13567982.323261,1895658582
1969,5.334587,116.257507,14361505.479073,1934332189
1970,5.800846,124.261473,15453322.604058,1973145847
1971,6.149814,128.977441,16309824.741282,2011761764
1972,6.431646,136.178148,17275371.580762,2051283970
1973,6.826282,145.167437,18657100.415596,2092248372
1974,6.946270,147.390300,19515434.160715,2134004118
1975,7.071576,149.184405,19978890.649699,2176419390
1976,7.417714,157.028311,21269495.194609,2219586217
1977,7.684944,162.474878,22235277.387837,2263597060
1978,7.910484,169.104762,23049204.718335,2308407831
1979,8.225806,176.091571,24099105.599178,2354125459
1980,8.367773,176.074057,24681469.793339,2400581649
1981,8.267466,176.583679,25239443.304420,2448258987
1982,8.345302,177.341977,25614949.197512,2497606775
1983,8.427336,180.706767,26098062.321207,2547951955
1984,8.654062,187.925791,26840359.805786,2598877506
1985,9.072725,191.861990,27490820.191900,2650290311
1986,9.218600,196.201271,28486355.724767,2702641930
1987,9.342459,202.445922,29372124.698247,2755990543
1988,9.768498,208.043643,30367629.607321,2809327227
1989,9.844932,210.547546,31341877.147908,2862330506
1990,10.123538,213.961068,31729615.942301,2914562911
1991,10.550839,215.342845,31692321.781882,2966064003
1992,9.732722,214.631400,31121166.234361,3016987252
1993,9.715062,213.244030,31033358.832055,3066772681
1994,9.633395,213.677724,30896039.191190,3115146953
1995,9.728440,217.520257,31408973.733906,3163121266
1996,9.920290,222.339655,32343101.268172,3211382904
1997,9.979214,224.157966,33483462.508556,3259487725
1998,9.935825,224.615390,33565145.284642,3307470238
1999,10.165574,227.716793,34335846.235666,3355678834
2000,10.476824,233.411538,36138729.598828,3404396578
2001,10.631060,236.657558,36972935.345922,3453678241
2002,10.736835,239.028657,38035829.145172,3503282658
2003,11.180785,244.135675,39616790.022547,3553079050
2004,11.517724,252.080292,41928360.597405,3603409497
2005,11.727172,256.499217,43953980.138165,3654701097
2006,12.042349,261.856603,46362672.242416,3707505141
2007,12.274613,266.168052,48930983.835659,3761763167
2008,12.480621,269.394698,50518077.320582,3817481671
2009,12.204384,260.606984,49368899.079181,3874882626
2010,12.872908,272.544505,51919949.931637,3933204308
2011,13.225149,275.778064,53904724.432882,3992077393
2012,13.595501,279.387918,55598465.442991,4051953334
2013,13.580864,280.528740,57328030.733881,4112749194
2014,13.624588,280.093004,58655263.424086,4174169543
2015,13.679031,282.138191,59618401.763451,4235962658
2016,13.780264,285.587949,60901503.392447,4297255818
2017,14.017653,291.147919,62691761.102134,4357786393
2018,14.129618,294.169208,64287808.887212,4418284675
2019,14.359774,294.008927,65557040.274767,4478634253
2020,13.603421,278.422178,63176247.232177,4537067631
2021,14.142623,290.000885,66238210.774205,4592592685
2022,14.273100,294.157682,67173299.855721,4642281034
2023,14.288159,293.874097,68187749.534478,4695929174
