"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,3.870108,4.401560,0.577996,0.575271,5.120957,5.046305,2.484855,2.320301
1991,3.804398,4.284123,0.615365,0.596522,5.062957,4.959124,2.606096,2.399621
1992,3.677507,4.599761,0.655447,0.646292,5.174228,5.146230,2.730788,2.575791
1993,3.607869,4.292915,0.677299,0.651711,5.272851,5.205142,2.921651,2.756960
1994,3.589193,4.181125,0.714064,0.683170,5.364279,5.310252,3.103739,2.749939
1995,3.635528,4.242039,0.760462,0.719237,5.425260,5.370919,3.361637,2.994027
1996,3.720306,4.198061,0.823621,0.768374,5.612983,5.539188,3.508818,3.125396
1997,3.653909,4.111916,0.858011,0.804072,5.688143,5.644761,3.515594,3.058618
1998,3.644298,4.164093,0.875772,0.819726,5.733281,5.807561,3.364588,2.959864
1999,3.588962,4.166124,0.960763,0.915860,5.803918,5.989483,3.557275,3.172589
2000,3.600212,4.214793,0.986445,0.915858,6.010136,6.252544,3.649227,3.262413
2001,3.656921,4.219870,1.000527,0.922813,5.907740,6.177028,3.728510,3.358539
2002,3.657653,4.199170,1.032140,0.937986,5.946308,6.294676,4.103046,3.650753
2003,3.736442,4.353952,1.067737,0.989343,6.010145,6.488340,4.841119,4.077675
2004,3.743810,4.413609,1.133828,1.043524,6.112655,6.616287,5.217351,4.315944
2005,3.735485,4.511967,1.194592,1.103955,6.132183,6.722181,5.882106,4.718328
2006,3.752487,4.613081,1.292485,1.179130,6.052686,6.706828,6.494331,5.135917
2007,3.702452,4.607067,1.392506,1.297334,6.130123,6.637333,6.983547,5.547083
2008,3.625926,4.579347,1.489438,1.381225,5.915118,6.313053,7.501498,5.969418
2009,3.330551,4.138040,1.612216,1.525167,5.480726,5.776546,7.891078,6.721094
2010,3.424056,4.295066,1.677337,1.577530,5.679715,5.961901,8.620576,7.337083
2011,3.326834,4.159857,1.764712,1.629816,5.546116,5.815465,9.532332,8.139869
2012,3.257576,3.891528,1.925700,1.791212,5.344086,5.649190,9.779292,8.498904
2013,3.175110,3.768345,1.995098,1.780645,5.480157,5.737805,9.956329,8.724485
2014,3.038410,3.646110,2.148344,1.956705,5.528681,5.834858,9.990257,8.806582
2015,3.094754,3.598535,2.234220,2.093845,5.376473,5.787921,9.863457,8.860397
2016,3.093282,3.609413,2.354658,2.184524,5.252932,5.660035,9.762714,8.860693
2017,3.117226,3.651528,2.426607,2.281589,5.212162,5.632437,10.006343,9.134991
2018,3.049868,3.687516,2.593058,2.431880,5.377797,5.804062,10.332992,9.595093
2019,2.904708,3.529985,2.612888,2.452717,5.262145,5.698775,10.713985,9.931447
2020,2.627392,3.201341,2.421552,2.247817,4.714628,5.186863,10.905693,9.972824
2021,2.801144,3.488992,2.674222,2.450051,5.032213,5.569804,11.447913,10.400611
2022,2.740078,3.469270,2.831166,2.566986,5.078871,5.642856,11.350538,10.309728
