"Year","Coal","Oil","Gas","Others","Land-use change"
1850,0.196848,0,0,0,2.638611
1851,0.198779,0,0,0,2.819714
1852,0.207595,0,0,0,2.857499
1853,0.217237,0,0,0,2.905598
1854,0.255039,0,0,0,2.914840
1855,0.260223,0.000037,0,0,2.878521
1856,0.278205,0.000040,0,0,2.968884
1857,0.281130,0.000051,0,0,2.951086
1858,0.285486,0.000062,0,0,2.974829
1859,0.302517,0.000055,0,0,3.038674
1860,0.332025,0.000273,0,0,2.780848
1861,0.348249,0.000941,0,0,2.767355
1862,0.354592,0.001399,0,0,2.740452
1863,0.378242,0.001293,0,0,2.707119
1864,0.408415,0.001110,0,0,2.618697
1865,0.433532,0.001320,0,0,2.571432
1866,0.447115,0.001952,0,0,2.608127
1867,0.478829,0.001985,0,0,2.570223
1868,0.492205,0.002289,0,0,2.538667
1869,0.522117,0.002614,0,0,2.584888
1870,0.532990,0.003133,0,0,2.835148
1871,0.566495,0.003282,0,0,2.854522
1872,0.627263,0.003698,0,0,3.052506
1873,0.664798,0.005669,0,0,2.980215
1874,0.622419,0.006243,0,0,3.178007
1875,0.675213,0.005835,0,0,3.262426
1876,0.684047,0.006536,0,0,3.283393
1877,0.695209,0.008824,0,0,3.181460
1878,0.699609,0.010040,0,0,3.276917
1879,0.747135,0.012659,0,0,3.270157
1880,0.842692,0.015363,0,0.000000,3.380315
1881,0.870723,0.017242,0,0.000000,3.377081
1882,0.918784,0.018939,0.000165,0.000000,3.556636
1883,0.980632,0.016501,0.000381,0.000000,3.478904
1884,0.989935,0.018322,0.001172,0.000000,3.632251
1885,0.994470,0.018959,0.003715,0.000000,3.631244
1886,1.003114,0.021823,0.007676,0.000000,3.545341
1887,1.048458,0.023481,0.011787,0.000001,3.691443
1888,1.159447,0.024580,0.016774,0.000001,3.566419
1889,1.160882,0.028407,0.012227,0.000001,3.677694
1890,1.260252,0.034650,0.011688,0.000001,3.950332
1891,1.319136,0.040831,0.008947,0.000001,4.160637
1892,1.331827,0.040206,0.007775,0.000001,4.101830
1893,1.312680,0.042546,0.007288,0.000001,4.288694
1894,1.363134,0.041701,0.006698,0.000001,4.304165
1895,1.439658,0.048538,0.007042,0.000001,4.309487
1896,1.485242,0.052571,0.006848,0.000001,4.244625
1897,1.554674,0.055530,0.007288,0.000001,4.404357
1898,1.640328,0.057172,0.008460,0.000001,4.356936
1899,1.792199,0.060031,0.010904,0.000001,4.447611
1900,1.882640,0.067308,0.011542,0.000001,4.506097
1901,1.936352,0.074749,0.012861,0.000002,4.532762
1902,1.980295,0.080807,0.013696,0.000002,4.627220
1903,2.161950,0.085566,0.014528,0.000003,4.596937
1904,2.174427,0.096080,0.015165,0.000003,4.679075
1905,2.320889,0.097020,0.017170,0.000004,4.826743
1906,2.425438,0.097889,0.019027,0.000004,4.837304
1907,2.758966,0.119423,0.019877,0.000005,4.748535
1908,2.635269,0.128793,0.019676,0.000115,4.838834
1909,2.740809,0.134372,0.023523,0.000116,4.946189
1910,2.871822,0.144106,0.024915,0.000135,4.746886
1911,2.909129,0.152830,0.025718,0.000148,4.826761
1912,3.058458,0.157180,0.028315,0.000177,4.686201
1913,3.302332,0.181980,0.029598,0.000203,4.514552
1914,2.971208,0.186022,0.030136,0.000147,4.596406
1915,2.908253,0.197577,0.031866,0.000160,4.571142
1916,3.135492,0.215210,0.038377,0.000181,4.522658
1917,3.265608,0.239379,0.040509,0.000148,4.545375
1918,3.215893,0.245028,0.036519,0.000120,4.548490
1919,2.720154,0.273412,0.037948,0.000125,4.481264
1920,3.132615,0.361041,0.041685,0.000149,4.603523
1921,2.672102,0.397273,0.034992,0.000130,4.838953
1922,2.773431,0.438311,0.040107,0.000193,4.802570
1923,3.149712,0.485538,0.052526,0.000208,4.907736
1924,3.155947,0.484191,0.059709,0.000216,4.921302
1925,3.153673,0.505529,0.063922,0.014429,4.918444
1926,3.084034,0.506481,0.069145,0.014740,4.930306
1927,3.364387,0.554162,0.076017,0.015448,4.965856
1928,3.307565,0.567606,0.082623,0.035583,4.939988
1929,3.523869,0.621715,0.102894,0.036873,4.894106
1930,3.216242,0.599795,0.104224,0.035561,5.020257
1931,2.833185,0.580520,0.092888,0.030894,5.184844
1932,2.522349,0.556010,0.088219,0.024694,5.233410
1933,2.638778,0.607609,0.090917,0.023839,5.297365
1934,2.880432,0.643677,0.101950,0.028514,5.337779
1935,2.998322,0.692010,0.111373,0.032058,5.261165
1936,3.287664,0.753507,0.125530,0.038736,5.300571
1937,3.465936,0.846686,0.140575,0.040804,5.368291
1938,3.230527,0.822877,0.135494,0.038521,5.418085
1939,3.435721,0.854565,0.141329,0.035659,5.357162
1940,3.795422,0.901067,0.153517,0.031431,5.458343
1941,3.885896,0.912407,0.153463,0.043293,5.738300
1942,3.910548,0.863516,0.166049,0.038376,5.769243
1943,3.926667,0.926609,0.182900,0.034769,5.720823
