"Year","China","USA","India","EU27","Bunkers","RoW"
2000,3.649227,6.010136,0.986445,3.600212,0.787710,10.476824
2001,3.728510,5.907740,1.000527,3.656921,0.781536,10.631060
2002,4.103046,5.946308,1.032140,3.657653,0.800886,10.736835
2003,4.841119,6.010145,1.067737,3.736442,0.833262,11.180785
2004,5.217351,6.112655,1.133828,3.743810,0.907139,11.517724
2005,5.882106,6.132183,1.194592,3.735485,0.942856,11.727172
2006,6.494331,6.052686,1.292485,3.752487,0.994059,12.042349
2007,6.983547,6.130123,1.392506,3.702452,1.051403,12.274613
2008,7.501498,5.915118,1.489438,3.625926,1.061598,12.480621
2009,7.891078,5.480726,1.612216,3.330551,1.022966,12.204384
2010,8.620576,5.679715,1.677337,3.424056,1.081311,12.872908
2011,9.532332,5.546116,1.764712,3.326834,1.109395,13.225149
2012,9.779292,5.344086,1.925700,3.257576,1.097865,13.595501
2013,9.956329,5.480157,1.995098,3.175110,1.114098,13.580864
2014,9.990257,5.528681,2.148344,3.038410,1.119814,13.624588
2015,9.863457,5.376473,2.234220,3.094754,1.156963,13.679031
2016,9.762714,5.252932,2.354658,3.093282,1.172806,13.780264
2017,10.006343,5.212162,2.426607,3.117226,1.209906,14.017653
2018,10.332992,5.377797,2.593058,3.049868,1.247093,14.129618
2019,10.713985,5.262145,2.612888,2.904708,1.250779,14.359774
2020,10.905693,4.714628,2.421552,2.627392,0.853840,13.603421
2021,11.447913,5.032213,2.674222,2.801144,0.893621,14.142623
2022,11.350538,5.078871,2.831166,2.740078,1.020083,14.273100
2023,11.902503,4.911391,3.062324,2.510622,1.116569,14.288159
2024,11.957216,4.895661,3.211433,2.421667,1.206469,14.485653
