"Year","Emissions","Intensity","Crisis1","Crisis2","Crisis3","Crisis4","Crisis5","Crisis6"
1959,8.854689,"NaN","NaN","NaN","NaN","NaN","NaN","NaN"
1960,9.387010,611.870714,"NaN","NaN","NaN","NaN","NaN","NaN"
1961,9.415042,588.902654,"NaN","NaN","NaN","NaN","NaN","NaN"
1962,9.747287,579.618124,"NaN","NaN","NaN","NaN","NaN","NaN"
1963,10.266772,584.204721,"NaN","NaN","NaN","NaN","NaN","NaN"
1964,10.824466,574.347579,"NaN","NaN","NaN","NaN","NaN","NaN"
1965,11.310600,568.793201,"NaN","NaN","NaN","NaN","NaN","NaN"
1966,11.862646,566.086970,"NaN","NaN","NaN","NaN","NaN","NaN"
1967,12.237369,562.390330,"NaN","NaN","NaN","NaN","NaN","NaN"
1968,12.905283,559.007946,"NaN","NaN","NaN","NaN","NaN","NaN"
1969,13.761785,562.841097,13.896258,"NaN","NaN","NaN","NaN","NaN"
1970,14.899124,577.892288,"NaN","NaN","NaN","NaN","NaN","NaN"
1971,15.503855,574.513917,"NaN","NaN","NaN","NaN","NaN","NaN"
1972,16.224597,569.629028,"NaN","NaN","NaN","NaN","NaN","NaN"
1973,17.085093,560.858211,"NaN","NaN","NaN","NaN","NaN","NaN"
1974,17.011072,541.649431,"NaN","NaN","NaN","NaN","NaN","NaN"
1975,17.052753,535.326164,"NaN",17.131935,"NaN","NaN","NaN","NaN"
1976,17.989112,534.175587,"NaN","NaN","NaN","NaN","NaN","NaN"
1977,18.498634,526.507967,"NaN","NaN","NaN","NaN","NaN","NaN"
1978,19.069291,522.013969,21.071137,"NaN","NaN","NaN","NaN","NaN"
1979,19.609020,516.207220,"NaN","NaN","NaN","NaN","NaN","NaN"
1980,19.488524,502.898159,"NaN","NaN","NaN","NaN","NaN","NaN"
1981,19.022905,481.631103,"NaN","NaN","NaN","NaN","NaN","NaN"
1982,18.871098,474.432119,"NaN","NaN","NaN","NaN","NaN","NaN"
1983,18.991910,465.707533,"NaN","NaN","NaN","NaN","NaN","NaN"
1984,19.647801,463.136004,"NaN",22.705377,"NaN","NaN","NaN","NaN"
1985,20.311902,463.904770,"NaN","NaN",20.138782,"NaN","NaN","NaN"
1986,20.614963,454.959614,"NaN","NaN","NaN","NaN","NaN","NaN"
1987,21.250075,453.142624,"NaN","NaN","NaN","NaN","NaN","NaN"
1988,22.085130,451.783113,"NaN","NaN","NaN","NaN","NaN","NaN"
1989,22.386637,442.372303,"NaN","NaN","NaN","NaN","NaN","NaN"
1990,22.728988,438.792693,"NaN","NaN","NaN","NaN","NaN","NaN"
1991,23.186101,442.630041,"NaN","NaN","NaN","NaN","NaN","NaN"
1992,22.528172,423.256953,"NaN","NaN","NaN","NaN","NaN","NaN"
1993,22.755787,420.703043,"NaN","NaN","NaN",22.578923,"NaN","NaN"
1994,22.992947,413.504166,"NaN","NaN",25.196457,"NaN","NaN","NaN"
1995,23.532083,410.471177,"NaN","NaN","NaN","NaN","NaN","NaN"
1996,24.258167,407.969984,"NaN","NaN","NaN","NaN","NaN","NaN"
1997,24.401906,394.978687,"NaN","NaN","NaN","NaN","NaN","NaN"
1998,24.303777,383.866891,"NaN","NaN","NaN","NaN","NaN","NaN"
1999,24.853728,379.534036,"NaN","NaN","NaN","NaN","NaN","NaN"
2000,25.510553,372.077447,"NaN","NaN","NaN","NaN","NaN","NaN"
2001,25.706293,366.437859,"NaN","NaN","NaN","NaN","NaN","NaN"
2002,26.276869,365.014038,"NaN","NaN","NaN",26.680635,"NaN","NaN"
2003,27.669490,370.932555,"NaN","NaN","NaN","NaN","NaN","NaN"
2004,28.632506,365.171200,"NaN","NaN","NaN","NaN",28.552744,"NaN"
2005,29.614394,361.268541,"NaN","NaN","NaN","NaN","NaN","NaN"
2006,30.628396,355.379600,"NaN","NaN","NaN","NaN","NaN","NaN"
2007,31.534644,348.070291,"NaN","NaN","NaN","NaN","NaN","NaN"
2008,32.074199,344.655508,"NaN","NaN","NaN","NaN","NaN","NaN"
2009,31.541922,341.300649,"NaN","NaN","NaN","NaN","NaN","NaN"
2010,33.355903,343.666753,"NaN","NaN","NaN","NaN","NaN","NaN"
2011,34.504538,342.350606,"NaN","NaN","NaN","NaN","NaN","NaN"
2012,35.000020,336.923262,"NaN","NaN","NaN","NaN","NaN","NaN"
2013,35.301656,329.122796,"NaN","NaN","NaN","NaN",36.476016,"NaN"
2014,35.450095,319.868761,"NaN","NaN","NaN","NaN","NaN","NaN"
2015,35.404897,309.275337,"NaN","NaN","NaN","NaN","NaN",35.219265
2016,35.416656,299.719082,"NaN","NaN","NaN","NaN","NaN","NaN"
2017,35.989898,293.598874,"NaN","NaN","NaN","NaN","NaN","NaN"
2018,36.730427,289.592249,"NaN","NaN","NaN","NaN","NaN","NaN"
2019,37.104278,284.511919,"NaN","NaN","NaN","NaN","NaN","NaN"
2020,35.126526,278.322630,"NaN","NaN","NaN","NaN","NaN","NaN"
2021,36.991736,276.677383,"NaN","NaN","NaN","NaN","NaN","NaN"
2022,37.293836,269.626653,"NaN","NaN","NaN","NaN","NaN","NaN"
2023,37.791569,264.895457,"NaN","NaN","NaN","NaN","NaN","NaN"
2024,38.178098,258.885761,"NaN","NaN","NaN","NaN","NaN",39.460544
