"Year","LUC","LUC_upper","LUC_lower","Emissions","Plus1SD","Minus1SD","Total emissions","Plus1SD","Minus1SD"
1959,7.743690,10.308490,5.178890,8.808735,9.249171,8.368298,16.552425,19.154767,13.950083
1960,6.706009,9.270809,4.141209,9.336879,9.803723,8.870035,16.042888,18.649829,13.435947
1961,6.820527,9.385327,4.255727,9.361739,9.829826,8.893652,16.182266,18.789430,13.575102
1962,6.330696,8.895496,3.765896,9.689836,10.174328,9.205344,16.020532,18.630691,13.410373
1963,6.161282,8.726082,3.596482,10.205756,10.716043,9.695468,16.367037,18.982108,13.751967
1964,5.858828,8.423628,3.294028,10.757708,11.295593,10.219823,16.616536,19.237131,13.995940
1965,5.625101,8.189901,3.060301,11.240132,11.802139,10.678126,16.865233,19.490886,14.239581
1966,5.222830,7.787630,2.658030,11.787011,12.376362,11.197661,17.009842,19.641482,14.378201
1967,5.400855,7.965655,2.836055,12.158020,12.765921,11.550119,17.558875,20.194732,14.923018
1968,5.332402,7.897202,2.767602,12.820243,13.461255,12.179231,18.152645,20.796335,15.508956
1969,5.835973,8.400773,3.271173,13.671534,14.355110,12.987957,19.507507,22.161839,16.853175
1970,5.694103,8.258903,3.129303,14.803387,15.543556,14.063217,20.497490,23.166956,17.828024
1971,5.118095,7.682895,2.553295,15.402729,16.172865,14.632593,20.520824,23.198754,17.842894
1972,5.390559,7.955359,2.825759,16.114420,16.920141,15.308699,21.504979,24.193359,18.816599
1973,5.244082,7.808882,2.679282,16.967224,17.815585,16.118862,22.211305,24.912771,19.509840
1974,5.138403,7.703203,2.573603,16.890431,17.734952,16.045909,22.028834,24.729096,19.328571
1975,5.059334,7.624134,2.494534,16.929662,17.776146,16.083179,21.988996,24.689872,19.288120
1976,5.084176,7.648976,2.519376,17.858961,18.751909,16.966013,22.943137,25.658934,20.227339
1977,5.513770,8.078570,2.948970,18.359817,19.277808,17.441826,23.873587,26.597721,21.149453
1978,5.413056,7.977856,2.848256,18.920877,19.866921,17.974833,24.333933,27.067648,21.600218
1979,4.686751,7.251551,2.121951,19.455276,20.428040,18.482512,24.142026,26.885103,21.398950
1980,4.967532,7.532332,2.402732,19.330279,20.296793,18.363765,24.297811,27.038677,21.556945
1981,4.829940,7.394740,2.265140,18.861529,19.804606,17.918453,23.691469,26.424158,20.958779
1982,4.543699,7.108499,1.978899,18.706802,19.642142,17.771462,23.250501,25.980530,20.520472
1983,4.784955,7.349755,2.220155,18.822254,19.763367,17.881141,23.607209,26.339221,20.875196
1984,5.639079,8.203879,3.074279,19.472993,20.446642,18.499343,25.112072,27.855463,22.368681
1985,5.290963,7.855763,2.726163,20.132210,21.138821,19.125600,25.423173,28.178434,22.667912
1986,5.527181,8.091981,2.962381,20.426755,21.448093,19.405417,25.953936,28.714611,23.193260
1987,5.339804,7.904604,2.775004,21.053169,22.105827,20.000510,26.392972,29.165388,23.620557
1988,5.170985,7.735785,2.606185,21.876635,22.970466,20.782803,27.047620,29.835929,24.259311
1989,4.953343,7.518143,2.388543,22.178687,23.287621,21.069752,27.132030,29.926298,24.337762
1990,4.976601,7.541401,2.411801,22.523343,23.649510,21.397176,27.499943,30.301095,24.698791
1991,4.969987,7.534787,2.405187,22.967993,24.116393,21.819593,27.937980,30.748144,25.127816
1992,5.258005,7.822805,2.693205,22.307250,23.422613,21.191888,27.565255,30.362080,24.768430
1993,4.973862,7.538662,2.409062,22.519816,23.645807,21.393825,27.493678,30.294759,24.692597
1994,5.889376,8.454176,3.324576,22.744253,23.881465,21.607040,28.633629,31.439240,25.828018
1995,5.432402,7.997202,2.867602,23.270075,24.433579,22.106571,28.702477,31.518847,25.886107
1996,6.012542,8.577342,3.447742,23.986249,25.185561,22.786936,29.998790,32.830141,27.167439
1997,7.406565,9.971365,4.841765,24.119842,25.325834,22.913850,31.526407,34.360594,28.692220
1998,6.144464,8.709264,3.579664,24.018912,25.219857,22.817966,30.163376,32.995419,27.331332
1999,6.002914,8.567714,3.438114,24.558730,25.786666,23.330793,30.561644,33.405238,27.718050
2000,5.297219,7.862019,2.732419,25.204473,26.464697,23.944250,30.501692,33.359377,27.644007
2001,4.765243,7.330043,2.200443,25.390789,26.660328,24.121249,30.156031,33.017837,27.294226
2002,5.128116,7.692916,2.563316,25.945193,27.242452,24.647933,31.073309,33.947518,28.199099
2003,6.075681,8.640481,3.510881,27.313074,28.678728,25.947420,33.388756,36.294476,30.483036
2004,5.403988,7.968788,2.839188,28.251212,29.663773,26.838652,33.655200,36.583258,30.727141
2005,4.890982,7.455782,2.326182,29.207100,30.667455,27.746745,34.098082,37.049495,31.146670
2006,5.332146,7.896946,2.767346,30.184984,31.694234,28.675735,35.517130,38.493039,32.541222
2007,4.594583,7.159383,2.029783,31.056976,32.609825,29.504127,35.651558,38.649814,32.653303
2008,4.880311,7.445111,2.315511,31.580802,33.159842,30.001761,36.461112,39.473016,33.449208
2009,5.273980,7.838780,2.709180,31.023421,32.574592,29.472250,36.297400,39.294788,33.300013
2010,5.487912,8.052712,2.923112,32.805281,34.445545,31.165017,38.293192,41.337641,35.248744
2011,5.278267,7.843067,2.713467,33.908335,35.603752,32.212919,39.186602,42.261116,36.112088
2012,5.651894,8.216694,3.087094,34.379926,36.098922,32.660930,40.031820,43.119400,36.944241
2013,5.116153,7.680953,2.551353,34.652288,36.384902,32.919674,39.768441,42.863623,36.673259
2014,5.396193,7.960993,2.831393,34.772503,36.511129,33.033878,40.168696,43.267247,37.070145
2015,5.531587,8.096387,2.966787,34.723617,36.459798,32.987436,40.255203,43.352383,37.158024
2016,4.406253,6.971053,1.841453,34.727810,36.464200,32.991419,39.134063,42.231360,36.036765
2017,4.231022,6.795822,1.666222,35.286144,37.050451,33.521837,39.517166,42.630200,36.404132
2018,3.844718,6.409518,1.279918,36.004238,37.804450,34.204026,39.848955,42.982478,36.715433
2019,3.786744,6.351544,1.221944,36.365677,38.183961,34.547393,40.152421,43.296360,37.008482
2020,3.438994,6.003794,0.874194,34.368599,36.087029,32.650169,37.807593,40.894857,34.720329
2021,3.552779,6.117579,0.987979,36.198618,38.008549,34.388687,39.751397,42.890513,36.612281
2022,3.541036,6.105836,0.976236,36.496956,38.321803,34.672108,40.037992,43.185732,36.890252
2023,3.624905,6.189705,1.060105,37.007293,38.857657,35.156928,40.632198,43.794799,37.469596
2024,4.176960,6.741760,1.612160,37.406451,39.674359,35.143982,41.583411,45.007094,38.163328
