"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,0.153702,2.230025,555144.523860,500114346
1966,0.159373,2.298290,554837.369220,510992617
1967,0.159556,2.370361,598258.736620,521987069
1968,0.174069,2.534347,618527.318900,533431909
1969,0.177413,2.809570,658977.151810,545314670
1970,0.181723,2.749467,692962.117440,557501301
1971,0.191964,2.859791,704347.002610,569999178
1972,0.203036,3.009091,700449.841410,582837973
1973,0.209095,3.071965,723533.313970,596107483
1974,0.215853,3.254356,732109.616700,609721951
1975,0.234209,3.499241,799097.002480,623524219
1976,0.244749,3.670035,812386.813780,637451448
1977,0.258962,3.881952,871323.564650,651685628
1978,0.263150,4.035502,921098.202880,666267760
1979,0.276285,4.258652,872849.396140,681248383
1980,0.291711,4.386956,931642.973670,696828385
1981,0.314966,4.857424,987599.347720,712869298
1982,0.325380,4.809776,1021925.666500,729169466
1983,0.352199,5.058181,1096412.733900,745826546
1984,0.361559,5.403307,1138303.790300,762895156
1985,0.397592,5.703346,1198113.677500,780242084
1986,0.426309,6.104126,1255342.346100,797878993
1987,0.455343,6.490273,1305121.134600,815716125
1988,0.491692,7.064285,1430775.364300,833729681
1989,0.540651,7.716289,1515868.487400,852012673
1990,0.577996,8.282524,1599748.381400,870452165
1991,0.615365,8.739587,1616655.025100,888941756
1992,0.655447,9.189980,1705286.455900,907574049
1993,0.677299,9.418493,1786300.799400,926351297
1994,0.714064,9.925637,1905249.213200,945261958
1995,0.760462,10.667225,2049562.159400,964279129
1996,0.823621,11.093873,2204294.310600,983281218
1997,0.858011,11.707235,2293564.281200,1002335230
1998,0.875772,12.418188,2435407.833500,1021434576
1999,0.960763,12.766906,2650838.057300,1040500054
2000,0.986445,13.411444,2752656.512700,1059633675
2001,1.000527,13.467145,2885443.734200,1078970907
2002,1.032140,13.934911,2995205.301800,1098313039
2003,1.067737,14.431356,3230639.864500,1117415123
2004,1.133828,15.669545,3486601.413100,1136264583
2005,1.194592,16.590301,3762859.857100,1154638713
2006,1.292485,17.477519,4066173.927300,1172373788
2007,1.392506,18.968256,4377675.992100,1189691809
2008,1.489438,20.075504,4512801.632000,1206734806
2009,1.612216,21.570669,4867593.079600,1223640160
2010,1.677337,22.504775,5281220.924400,1240613620
2011,1.764712,23.732535,5558026.349000,1257621191
2012,1.925700,25.015267,5861293.873600,1274487215
2013,1.995098,25.843391,6235602.336900,1291132063
2014,2.148344,27.590413,6697674.662600,1307246509
2015,2.234220,28.546846,7233237.726300,1322866505
2016,2.354658,29.825898,7830435.930700,1338636340
2017,2.426607,30.962671,8362544.075500,1354195680
2018,2.593058,32.717185,8908868.161100,1369003306
2019,2.612888,33.542460,9268924.895200,1383112050
2020,2.421552,31.782149,8596765.190900,1396387127
2021,2.674222,34.506283,9366002.538300,1407563842
2022,2.831166,36.371459,10129641.720000,1417173173
2023,3.062324,39.016282,10828029.671000,1428627663
