"Year","Europe","Asia","Africa","North America","South America","Middle East","Oceania"
1959,3.713172,1.303228,0.147841,3.074959,0.237096,0.070768,0.094256
1960,3.964941,1.448553,0.156567,3.153344,0.235038,0.090276,0.100119
1961,4.109839,1.299229,0.161994,3.146454,0.239744,0.094484,0.099981
1962,4.336908,1.233512,0.166335,3.264933,0.260184,0.109295,0.103096
1963,4.609900,1.299804,0.176335,3.404057,0.257968,0.123593,0.109293
1964,4.839824,1.362917,0.193639,3.576454,0.275287,0.144769,0.118450
1965,4.982210,1.477433,0.213634,3.727016,0.284890,0.172795,0.129173
1966,5.153738,1.598515,0.221082,3.911773,0.296655,0.198951,0.131938
1967,5.267683,1.620068,0.237045,4.077573,0.316815,0.205539,0.138175
1968,5.513144,1.779939,0.257268,4.238651,0.338572,0.236683,0.144930
1969,5.813301,2.021633,0.277717,4.444880,0.367972,0.268463,0.153162
1970,6.095201,2.413140,0.302406,4.795232,0.405063,0.285360,0.165591
1971,6.324005,2.619828,0.331613,4.844452,0.418011,0.334432,0.169902
1972,6.552929,2.769598,0.351688,5.086691,0.437765,0.360838,0.172836
1973,6.845590,2.924332,0.377821,5.311345,0.478441,0.428508,0.192345
1974,6.863869,2.968936,0.388183,5.166338,0.501494,0.443725,0.189269
1975,6.903233,3.144838,0.387017,5.039992,0.499966,0.434455,0.195424
1976,7.277801,3.297372,0.419915,5.331035,0.523068,0.508050,0.192758
1977,7.334162,3.515664,0.432919,5.490840,0.535287,0.534376,0.206084
1978,7.566620,3.696118,0.462339,5.579710,0.559753,0.536453,0.212264
1979,7.746167,3.837386,0.498987,5.691416,0.595606,0.569492,0.212264
1980,7.750178,3.846755,0.536023,5.519970,0.608729,0.554561,0.225659
1981,7.468538,3.822526,0.548875,5.400528,0.583762,0.552391,0.233963
1982,7.408562,3.960004,0.571965,5.166377,0.587022,0.564477,0.239423
1983,7.415053,4.111966,0.594808,5.115876,0.572234,0.594906,0.228676
1984,7.466038,4.358219,0.649588,5.364817,0.586727,0.622987,0.239735
1985,7.791125,4.600610,0.666138,5.362380,0.603056,0.671433,0.249757
1986,7.805437,4.782951,0.690173,5.362013,0.616060,0.714368,0.250301
1987,7.825859,5.002522,0.690280,5.563071,0.648529,0.730349,0.262014
1988,7.868783,5.413930,0.725366,5.812558,0.671508,0.777935,0.269578
1989,7.833492,5.585143,0.698576,5.919220,0.676500,0.822639,0.285907
1990,8.038280,5.767457,0.658337,5.896434,0.690597,0.819005,0.307343
1991,7.738587,5.996165,0.687663,5.843253,0.697391,0.889218,0.309454
1992,7.096647,6.231186,0.666653,5.970869,0.708006,0.980860,0.316470
1993,6.806017,6.477511,0.706431,6.075352,0.743106,1.065591,0.320724
1994,6.446072,6.773180,0.790223,6.195009,0.749564,1.124762,0.325859
1995,6.423227,7.132378,0.844538,6.248183,0.790284,1.135244,0.337472
1996,6.471552,7.453140,0.872273,6.462922,0.826221,1.154065,0.345845
1997,6.266122,7.587757,0.893927,6.573292,0.879776,1.138115,0.355882
1998,6.239439,7.306425,0.912471,6.644670,0.904331,1.178167,0.368261
1999,6.156375,7.706508,0.899868,6.734473,0.931573,1.267684,0.380009
2000,6.154304,7.937751,0.930840,6.968559,0.942222,1.402025,0.387142
2001,6.280921,8.087821,0.920591,6.874258,0.927020,1.437125,0.397022
2002,6.248755,8.595659,0.899985,6.920976,0.959712,1.448600,0.402296
2003,6.389757,9.506611,0.989634,7.027618,0.967254,1.543696,0.411658
2004,6.419048,10.054004,1.045715,7.131104,1.000150,1.650472,0.424874
2005,6.422179,10.838288,1.059361,7.169176,1.033645,1.719316,0.429573
2006,6.530003,11.583488,1.091165,7.096107,1.071992,1.825892,0.435690
2007,6.473909,12.304732,1.116889,7.196326,1.111311,1.837988,0.442086
2008,6.406544,12.884495,1.174744,6.964613,1.154611,1.979456,0.448137
2009,5.892903,13.338319,1.168239,6.484488,1.126215,2.061090,0.447700
2010,6.116593,14.384035,1.216658,6.691604,1.243789,2.174946,0.446967
2011,6.045117,15.564787,1.257410,6.593530,1.261266,2.227932,0.445101
2012,5.998561,16.082872,1.268937,6.410441,1.315302,2.376944,0.449097
2013,5.841422,16.365106,1.282531,6.545054,1.380298,2.331437,0.441709
2014,5.611030,16.570562,1.357338,6.579783,1.399227,2.375603,0.436738
2015,5.616481,16.588638,1.332651,6.422143,1.377092,2.465174,0.445755
2016,5.602061,16.681147,1.375117,6.291224,1.322134,2.518586,0.453580
2017,5.635927,17.163290,1.393205,6.246782,1.301186,2.580778,0.458823
2018,5.617016,17.738896,1.386643,6.425893,1.249634,2.604220,0.461032
2019,5.436906,18.221054,1.479397,6.313027,1.264973,2.676076,0.462066
2020,5.026315,18.029972,1.355771,5.670749,1.135331,2.612747,0.441800
2021,5.304039,18.894786,1.441523,6.019980,1.252514,2.753741,0.431532
2022,5.228870,19.010197,1.432492,6.095460,1.268148,2.813759,0.424828
2023,4.993221,19.747367,1.418728,5.943965,1.288560,2.861176,0.421981
