"Year","World","China","USA","EU27","India","RoW"
2000,64.617261,33.605771,338.409836,151.944636,12.656680,58.098037
2001,64.391004,35.272123,326.850180,154.452398,12.481471,57.963879
2002,64.906168,38.167515,328.316585,153.211203,12.687558,58.010404
2003,66.331486,44.183955,326.265544,155.493469,12.914946,58.449658
2004,68.783413,51.381886,329.435354,157.176407,13.790402,59.837865
2005,70.194756,58.010971,326.385798,156.752354,14.368392,60.359187
2006,71.273852,63.190045,320.663464,157.229425,14.907805,60.939114
2007,72.537183,68.238796,321.857256,154.757792,15.943840,61.519883
2008,72.475013,70.422478,310.983587,153.538513,16.636219,61.640073
2009,70.427278,73.011850,293.012543,143.871900,17.628278,59.347771
2010,72.899524,77.585569,300.250389,149.390730,18.140035,61.165815
2011,73.651824,83.127186,295.099146,144.700615,18.870973,61.558548
2012,73.764806,85.943519,284.762815,142.917899,19.627711,61.807769
2013,74.128716,88.561301,290.013352,141.778573,20.016071,61.351229
2014,74.016439,90.258134,290.606883,136.675242,21.105746,60.933201
2015,73.698323,90.757086,285.546873,138.420389,21.579537,60.446185
2016,73.599486,90.591841,283.051644,139.695919,22.280807,60.369986
2017,74.489561,93.554585,281.893017,141.648393,22.864252,60.905100
2018,75.674427,97.577940,290.143746,141.021347,23.898544,61.011889
2019,75.731029,101.752881,286.200865,138.464410,24.251441,60.403249
2020,72.389649,104.831387,263.859630,127.969415,22.760271,56.818380
2021,75.433337,110.701973,277.285571,135.026415,24.514897,58.393829
2022,76.155677,112.392285,282.052491,129.035447,25.664795,59.263281
2023,77.017361,119.760583,277.300213,125.275102,27.310322,58.915886
