"Year","fossil_carbon","land-use_change","atmosphere","land","ocean","fossil_including_carbonation"
1850,0.196848,2.638611,0.693406,1.097368,0.601610,0.196848
1851,0.198779,2.819714,0.459936,0.185032,0.606337,0.198779
1852,0.207595,2.857499,0.255261,0.690664,0.628907,0.207595
1853,0.217237,2.905598,0.035799,0.749288,0.633524,0.217237
1854,0.255039,2.914840,-0.143195,1.846656,0.638708,0.255039
1855,0.260260,2.878521,-0.232692,1.190800,0.662561,0.260260
1856,0.278246,2.968884,-0.231914,2.264352,0.667837,0.278246
1857,0.281181,2.951086,-0.193780,3.563240,0.692349,0.281181
1858,0.285548,2.974829,-0.133078,0.747456,0.716715,0.285548
1859,0.302572,3.038674,-0.050585,-0.879360,0.724006,0.302572
1860,0.332298,2.780848,0.054476,1.106528,0.731591,0.332298
1861,0.349190,2.767355,0.186776,-1.256752,0.758320,0.349190
1862,0.355991,2.740452,0.347092,-1.159656,0.802471,0.355991
1863,0.379535,2.707119,0.536981,3.317752,0.829493,0.379535
1864,0.409525,2.618697,0.758778,1.952912,0.838415,0.409525
1865,0.434851,2.571432,1.004700,0.159384,0.866408,0.434851
1866,0.449067,2.608127,1.227274,1.681776,0.894071,0.449067
1867,0.480814,2.570223,1.414050,1.993216,0.923658,0.480814
1868,0.494494,2.538667,1.566584,2.652736,0.951522,0.494494
1869,0.524731,2.584888,1.682541,0.897680,0.982062,0.524731
1870,0.536123,2.835148,1.765034,1.659792,0.993402,0.536123
1871,0.569777,2.854522,1.816397,0.133736,1.022732,0.569777
1872,0.630961,3.052506,1.822623,0.965464,1.054591,0.630961
1873,0.670467,2.980215,1.782933,0.837224,1.084342,0.670467
1874,0.628662,3.178007,1.696549,2.176416,1.116238,0.628662
1875,0.681048,3.262426,1.580592,1.883296,1.147253,0.681048
1876,0.690583,3.283393,1.504326,2.557472,1.179075,0.690583
1877,0.704033,3.181460,1.483313,3.799568,1.229125,0.704033
1878,0.709650,3.276917,1.518334,1.769712,1.261405,0.709650
1879,0.759794,3.270157,1.605496,0.016488,1.292549,0.759794
1880,0.858056,3.380315,1.716783,2.229544,1.324609,0.858056
1881,0.887965,3.377081,1.848305,-0.679672,1.356688,0.887965
1882,0.937888,3.556636,1.999282,-0.335256,1.388693,0.937888
1883,0.997515,3.478904,2.170494,4.153144,1.418811,0.997515
