"Year","deforestation_tot","forest_regrowth_tot","deforestation_perm","forest_regrowth_AR"
1959,7.503597,-3.018403,5.781801,-1.303514
1960,6.745891,-3.051608,4.962393,-1.322438
1961,6.718375,-3.063131,4.894280,-1.330270
1962,6.539205,-3.075699,4.681273,-1.327614
1963,6.434891,-3.086783,4.566123,-1.327944
1964,6.273272,-3.097491,4.391744,-1.325058
1965,6.083733,-3.110480,4.187100,-1.324792
1966,5.863801,-3.123487,3.954317,-1.320359
1967,5.842908,-3.119997,3.931609,-1.311767
1968,5.822435,-3.122699,3.900035,-1.299502
1969,6.371998,-3.133544,4.576070,-1.301489
1970,6.215142,-3.152048,4.352172,-1.314836
1971,5.913320,-3.146176,4.038030,-1.307544
1972,6.091024,-3.157315,4.212079,-1.300106
1973,6.017635,-3.163049,4.127450,-1.292146
1974,5.962784,-3.144692,4.069724,-1.275200
1975,5.938190,-3.152661,4.041273,-1.270684
1976,5.876864,-3.145443,3.976640,-1.254792
1977,6.118449,-3.152725,4.215368,-1.247949
1978,6.027042,-3.154832,4.110779,-1.241345
1979,5.656767,-3.172539,3.731738,-1.239321
1980,5.717874,-3.169763,3.789758,-1.228686
1981,5.676782,-3.174425,3.743509,-1.226936
1982,5.559250,-3.180031,3.607016,-1.221596
1983,5.685923,-3.189805,3.736602,-1.216329
1984,6.232876,-3.186361,4.304733,-1.212986
1985,5.921006,-3.187561,3.979333,-1.210732
1986,6.160805,-3.203508,4.209661,-1.221184
1987,6.081965,-3.227205,4.124721,-1.227037
1988,5.939353,-3.236713,3.965602,-1.233229
1989,5.758901,-3.246020,3.808609,-1.239760
1990,5.762098,-3.307887,3.803562,-1.274678
1991,5.858736,-3.357854,3.899201,-1.312591
1992,6.080610,-3.390382,4.128577,-1.333311
1993,6.128342,-3.413785,4.171143,-1.340172
1994,6.948465,-3.458706,5.001534,-1.374220
1995,6.778263,-3.510259,4.797532,-1.405877
1996,6.897251,-3.511733,4.909595,-1.403248
1997,7.059127,-3.549592,5.039878,-1.423162
1998,7.631425,-3.609553,5.611214,-1.459032
1999,7.535382,-3.638233,5.510995,-1.488766
2000,7.165126,-3.691324,5.112187,-1.523235
2001,6.827818,-3.741356,4.736077,-1.552904
2002,6.852999,-3.803717,4.726230,-1.597403
2003,7.745861,-3.858421,5.536212,-1.634126
2004,6.993999,-3.880066,4.829857,-1.644486
2005,6.748603,-3.924978,4.557943,-1.668118
2006,6.524036,-3.970723,4.305209,-1.704081
2007,6.554566,-4.000859,4.302718,-1.719350
2008,6.645452,-4.012034,4.363677,-1.717582
2009,6.752862,-4.055324,4.418619,-1.733557
2010,6.972885,-4.170099,4.595004,-1.827319
2011,6.847567,-4.185744,4.433935,-1.840189
2012,7.021122,-4.194859,4.570345,-1.826843
2013,6.816368,-4.218006,4.361873,-1.832009
2014,6.876861,-4.283839,4.395857,-1.873925
2015,6.765539,-4.315881,4.231929,-1.877708
2016,6.589731,-4.354078,4.031133,-1.889699
2017,6.597014,-4.382336,4.021881,-1.901103
2018,6.276276,-4.389609,3.657936,-1.882582
2019,6.101476,-4.423318,3.435110,-1.879678
2020,6.049685,-4.445833,3.329010,-1.869922
2021,6.178823,-4.445082,3.422533,-1.854671
2022,6.077971,-4.444359,3.318979,-1.842626
2023,6.082002,-4.469604,3.300614,-1.836406
