"Year","LUC","LUC_upper","LUC_lower"
1959,7.743690,10.308490,5.178890
1960,6.706009,9.270809,4.141209
1961,6.820527,9.385327,4.255727
1962,6.330696,8.895496,3.765896
1963,6.161282,8.726082,3.596482
1964,5.858828,8.423628,3.294028
1965,5.625101,8.189901,3.060301
1966,5.222830,7.787630,2.658030
1967,5.400855,7.965655,2.836055
1968,5.332402,7.897202,2.767602
1969,5.835973,8.400773,3.271173
1970,5.694103,8.258903,3.129303
1971,5.118095,7.682895,2.553295
1972,5.390559,7.955359,2.825759
1973,5.244082,7.808882,2.679282
1974,5.138403,7.703203,2.573603
1975,5.059334,7.624134,2.494534
1976,5.084176,7.648976,2.519376
1977,5.513770,8.078570,2.948970
1978,5.413056,7.977856,2.848256
1979,4.686751,7.251551,2.121951
1980,4.967532,7.532332,2.402732
1981,4.829940,7.394740,2.265140
1982,4.543699,7.108499,1.978899
1983,4.784955,7.349755,2.220155
1984,5.639079,8.203879,3.074279
1985,5.290963,7.855763,2.726163
1986,5.527181,8.091981,2.962381
1987,5.339804,7.904604,2.775004
1988,5.170985,7.735785,2.606185
1989,4.953343,7.518143,2.388543
1990,4.976601,7.541401,2.411801
1991,4.969987,7.534787,2.405187
1992,5.258005,7.822805,2.693205
1993,4.973862,7.538662,2.409062
1994,5.889376,8.454176,3.324576
1995,5.432402,7.997202,2.867602
1996,6.012542,8.577342,3.447742
1997,7.406565,9.971365,4.841765
1998,6.144464,8.709264,3.579664
1999,6.002914,8.567714,3.438114
2000,5.297219,7.862019,2.732419
2001,4.765243,7.330043,2.200443
2002,5.128116,7.692916,2.563316
2003,6.075681,8.640481,3.510881
2004,5.403988,7.968788,2.839188
2005,4.890982,7.455782,2.326182
2006,5.332146,7.896946,2.767346
2007,4.594583,7.159383,2.029783
2008,4.880311,7.445111,2.315511
2009,5.273980,7.838780,2.709180
2010,5.487912,8.052712,2.923112
2011,5.278267,7.843067,2.713467
2012,5.651894,8.216694,3.087094
2013,5.116153,7.680953,2.551353
2014,5.396193,7.960993,2.831393
2015,5.531587,8.096387,2.966787
2016,4.406253,6.971053,1.841453
2017,4.231022,6.795822,1.666222
2018,3.844718,6.409518,1.279918
2019,3.786744,6.351544,1.221944
2020,3.438994,6.003794,0.874194
2021,3.552779,6.117579,0.987979
2022,3.541036,6.105836,0.976236
2023,3.624905,6.189705,1.060105
