"Year","EU27_prod","EU27_cons","IND_prod","IND_cons","USA_prod","USA_cons","CHN_prod","CHN_cons"
1990,9.246808,10.516602,0.664018,0.660887,20.642052,20.341136,2.153806,2.011175
1991,9.062547,10.205310,0.692244,0.671048,20.126224,19.713468,2.226241,2.049861
1992,8.734694,10.925201,0.722197,0.712110,20.277146,20.167427,2.306772,2.175842
1993,8.546882,10.169726,0.731147,0.703525,20.375824,20.114179,2.443147,2.305429
1994,8.483642,9.882768,0.755414,0.722731,20.452991,20.246994,2.570838,2.277784
1995,8.578108,10.009186,0.788632,0.745880,20.421773,20.217224,2.759638,2.457859
1996,8.765924,9.891630,0.837625,0.781439,20.867321,20.592976,2.856649,2.544492
1997,8.598218,9.675978,0.856012,0.802199,20.881930,20.722672,2.840192,2.471009
1998,8.565519,9.787239,0.857394,0.802524,20.785180,21.054474,2.698500,2.373900
1999,8.426206,9.781274,0.923367,0.880212,20.789043,21.453718,2.833504,2.527087
2000,8.438622,9.879154,0.930930,0.864315,21.282460,22.140849,2.886820,2.580821
2001,8.555709,9.872780,0.927297,0.855272,20.694748,21.638063,2.929515,2.638827
2002,8.538371,9.802479,0.939750,0.854024,20.621824,21.829965,3.203187,2.850089
2003,8.695486,10.132561,0.955542,0.885385,20.645629,22.288290,3.756086,3.163751
2004,8.682902,10.236348,0.997855,0.918381,20.795028,22.508369,4.023198,3.328107
2005,8.634430,10.429240,1.034603,0.956104,20.658025,22.645604,4.507749,3.615888
2006,8.645381,10.628112,1.102451,1.005763,20.192239,22.374507,4.945851,3.911331
2007,8.496679,10.572661,1.170476,1.090479,20.248576,21.923955,5.284508,4.197523
2008,8.287770,10.467002,1.234271,1.144597,19.349745,20.651482,5.639515,4.487720
2009,7.589321,9.429344,1.317558,1.246418,17.765031,18.723892,5.892710,5.019017
2010,7.783861,9.763914,1.352022,1.271572,18.252019,19.158835,6.394178,5.442167
2011,7.547387,9.437217,1.403215,1.295951,17.669734,18.527871,7.024069,5.998008
2012,7.378732,8.814696,1.510960,1.405437,16.876879,17.840413,7.156134,6.219192
2013,7.185157,8.527625,1.545232,1.379134,17.158994,17.965720,7.235177,6.340006
2014,6.869910,8.243933,1.643411,1.496814,17.168006,18.118767,7.212194,6.357672
2015,6.990574,8.128538,1.688923,1.582809,16.562983,17.830507,7.077095,6.357393
2016,6.979746,8.144354,1.758998,1.631903,16.053693,17.297856,6.963967,6.320535
2017,7.024785,8.228854,1.791917,1.684830,15.804430,17.078796,7.095308,6.477449
2018,6.863767,8.298802,1.894121,1.776387,16.191355,17.474745,7.291804,6.771082
2019,6.527037,7.932069,1.889137,1.773332,15.739861,17.045886,7.535168,6.984808
2020,5.900400,7.189331,1.734155,1.609738,14.034053,15.439756,7.653495,6.998818
2021,6.293982,7.839529,1.899894,1.740632,14.932488,16.527724,8.028589,7.294101
2022,6.125599,7.755750,1.997756,1.811343,15.013372,16.680536,7.960333,7.230394
