"Year","China","USA","India","EU27","Russia","Japan","United Kingdom","All others"
1850,0,10.054950,0,27.528902,0.035276,0,62.154761,0.226111
1851,0,11.229288,0,28.180042,0.017552,0,60.350241,0.222877
1852,0,11.806144,0,29.138977,0.011511,0,58.810753,0.232615
1853,0,12.356415,0,30.099403,0.008463,0,57.299326,0.236393
1854,0,12.509421,0,30.615816,0.006456,0,56.637019,0.231288
1855,0,12.928925,0,31.449869,0.020962,0,55.346808,0.253435
1856,0,13.180620,0,32.000568,0.017348,0,54.484426,0.317038
1857,0,13.391350,0,32.553163,0.014774,0,53.659884,0.380829
1858,0,13.547715,0.018090,33.145215,0.026398,0,52.816520,0.446062
1859,0,13.722015,0.041516,33.294615,0.035810,0,52.409597,0.496447
1860,0,13.787357,0.059458,33.366214,0.046301,0,52.189187,0.551483
1861,0,13.709468,0.068609,33.598153,0.057825,0,51.961940,0.604004
1862,0,13.670963,0.077302,34.009125,0.065466,0,51.521445,0.655699
1863,0,13.745924,0.085419,34.276080,0.071845,0,51.128733,0.691999
1864,0,13.800773,0.090686,34.520359,0.077960,0,50.769664,0.740558
1865,0,13.775672,0.094322,34.809325,0.082051,0,50.447526,0.791104
1866,0,13.725038,0.098485,35.040606,0.107389,0,50.162345,0.866136
1867,0,13.846176,0.090140,35.252255,0.132356,0,49.742694,0.936379
1868,0,14.071228,0.082915,35.495947,0.147817,0.000178,49.211735,0.990179
1869,0,14.367916,0.076415,35.661625,0.168823,0.000438,48.695978,1.028805
1870,0,14.666543,0.070749,35.757557,0.189052,0.000659,48.245405,1.070036
1871,0,14.915965,0.065581,35.858103,0.216223,0.000940,47.824177,1.119013
1872,0,15.297802,0.060672,35.962978,0.238964,0.001260,47.269495,1.168828
1873,0,15.703687,0.056203,36.079224,0.255202,0.001610,46.695188,1.208886
1874,0,16.069300,0.052571,36.011451,0.277136,0.007532,46.321410,1.260600
1875,0,16.321997,0.049132,36.104248,0.300338,0.020870,45.898934,1.304481
1876,0,16.503083,0.046076,36.257532,0.329778,0.032213,45.485011,1.346307
1877,0,16.765576,0.043328,36.296661,0.356294,0.041216,45.109505,1.387420
1878,0,16.964749,0.054989,36.384005,0.393025,0.053723,44.716823,1.432686
1879,0,17.315575,0.064531,36.442880,0.425606,0.068092,44.211279,1.472038
1880,0,17.670115,0.073963,36.557212,0.460453,0.080576,43.629429,1.528253
1881,0,18.024877,0.081836,36.593964,0.493374,0.091887,43.129446,1.584616
1882,0,18.440576,0.090789,36.629973,0.524004,0.102237,42.568369,1.644052
1883,0,18.853019,0.099843,36.672805,0.557049,0.112213,41.996927,1.708144
1884,0,19.283180,0.109429,36.707087,0.586956,0.122366,41.413418,1.777564
1885,0,19.683669,0.116521,36.747252,0.618600,0.133451,40.855319,1.845188
1886,0,20.104377,0.124359,36.763825,0.648058,0.144579,40.308501,1.906300
1887,0,20.528583,0.132503,36.775887,0.676378,0.158357,39.756861,1.971431
1888,0,21.099737,0.140658,36.730012,0.700757,0.173013,39.110075,2.045748
1889,0,21.448759,0.150580,36.786368,0.727236,0.190780,38.578665,2.117612
1890,0,21.938516,0.160513,36.790401,0.755777,0.207967,37.969822,2.177004
1891,0,22.424074,0.170350,36.781628,0.786002,0.228123,37.361262,2.248561
1892,0,22.935888,0.180862,36.731212,0.816779,0.246005,36.771550,2.317703
1893,0,23.425490,0.191509,36.736246,0.856628,0.264062,36.132507,2.393558
1894,0,23.736697,0.201114,36.764824,0.892829,0.288122,35.644820,2.471594
1895,0,24.129543,0.213769,36.744679,0.934179,0.313003,35.118758,2.546069
1896,0,24.453667,0.226673,36.767807,0.971809,0.337218,34.619866,2.622960
1897,0,24.753055,0.239783,36.807400,1.016063,0.360333,34.122544,2.700822
1898,0,25.088377,0.253503,36.828056,1.064194,0.390581,33.590475,2.784814
1899,0,25.498424,0.267330,36.784458,1.118061,0.416504,33.042503,2.872719
1900,0,25.899692,0.283831,36.761333,1.177436,0.444249,32.478852,2.954607
1901,0,26.363523,0.301307,36.680559,1.232400,0.477821,31.899063,3.045326
1902,0,26.851010,0.319829,36.535799,1.277296,0.511509,31.371913,3.132644
1903,0,27.463268,0.335971,36.357961,1.310815,0.541835,30.775360,3.214790
1904,0,27.979532,0.354023,36.206384,1.350768,0.575714,30.222154,3.311425
1905,0,28.569801,0.370113,36.038571,1.372822,0.606526,29.643015,3.399153
1906,0,29.139558,0.388824,35.845331,1.401628,0.638701,29.087301,3.498657
1907,0.034871,29.768349,0.407221,35.648788,1.429578,0.667706,28.438636,3.604849
1908,0.071246,30.141978,0.429891,35.596932,1.458192,0.699515,27.886705,3.715542
1909,0.106608,30.606205,0.448494,35.473067,1.486576,0.728146,27.340043,3.810862
1910,0.139696,31.123291,0.463450,35.310865,1.507419,0.754331,26.789239,3.911708
1911,0.169192,31.554435,0.478640,35.167947,1.528530,0.784679,26.286166,4.030410
1912,0.185189,31.996998,0.496643,35.060726,1.555725,0.817690,25.734986,4.152043
1913,0.208643,32.416603,0.515156,34.946052,1.582835,0.851486,25.197310,4.281914
1914,0.234097,32.776857,0.534523,34.776391,1.604898,0.890632,24.790625,4.391976
1915,0.256143,33.189745,0.554479,34.542081,1.619425,0.920979,24.438009,4.479138
1916,0.281264,33.650405,0.571713,34.277814,1.632870,0.953033,24.060924,4.571978
1917,0.306060,34.186956,0.588287,33.965210,1.636446,0.990904,23.664371,4.661767
1918,0.332073,34.783567,0.608601,33.634872,1.600843,1.030800,23.273331,4.735913
1919,0.361331,35.227719,0.634284,33.285450,1.571767,1.081013,23.011434,4.827002
1920,0.389111,35.724765,0.646841,32.966032,1.534765,1.117422,22.674340,4.946723
1921,0.415244,36.032359,0.663900,32.838829,1.508232,1.148868,22.309804,5.082764
1922,0.440362,36.282133,0.678422,32.695834,1.485469,1.181184,22.037855,5.198741
1923,0.468121,36.793640,0.690285,32.344265,1.460623,1.210823,21.719321,5.312923
1924,0.496076,37.091644,0.703652,32.169121,1.441959,1.241439,21.439020,5.417090
1925,0.519600,37.409947,0.715469,32.004628,1.423649,1.271983,21.146275,5.508449
1926,0.540036,37.851353,0.726815,31.838998,1.419405,1.301804,20.716324,5.605265
1927,0.559476,38.128324,0.737058,31.695390,1.420847,1.331799,20.434435,5.692671
1928,0.579166,38.368062,0.745343,31.585017,1.427468,1.362362,20.151832,5.780750
1929,0.596868,38.608318,0.752702,31.495403,1.434319,1.389890,19.860427,5.862073
1930,0.615881,38.767232,0.761944,31.405062,1.462748,1.412729,19.621948,5.952456
1931,0.637395,38.847882,0.770436,31.333766,1.507781,1.432668,19.433650,6.036421
1932,0.658298,38.860151,0.778493,31.259591,1.564510,1.455193,19.289818,6.133945
1933,0.680125,38.888911,0.784834,31.171328,1.627266,1.484142,19.128458,6.234936
1934,0.705110,38.898493,0.792104,31.073994,1.704088,1.515403,18.959233,6.351575
1935,0.734722,38.898671,0.799254,30.975360,1.790166,1.546741,18.779984,6.475102
1936,0.762890,38.947081,0.803712,30.836594,1.886007,1.579462,18.581678,6.602575
1937,0.785426,38.972448,0.809199,30.734126,1.976518,1.612903,18.370321,6.739058
1938,0.802287,38.892989,0.818876,30.693652,2.073169,1.650954,18.188058,6.880016
1939,0.824787,38.853519,0.826290,30.633577,2.163757,1.682430,17.990417,7.025224
1940,0.853437,38.840540,0.833068,30.533788,2.272420,1.722743,17.775591,7.168413
1941,0.892777,38.896758,0.839652,30.409657,2.353806,1.760521,17.561100,7.285729
1942,0.937409,39.036469,0.845930,30.305236,2.367061,1.792774,17.356014,7.359107
1943,0.969509,39.188482,0.847870,30.197364,2.381711,1.823949,17.151844,7.439272
1944,0.996457,39.403144,0.849867,29.985027,2.428486,1.846633,16.950420,7.539966
1945,1.003007,39.736547,0.858046,29.589978,2.489901,1.845351,16.813965,7.663204
1946,0.998081,39.944058,0.864220,29.338780,2.558500,1.829607,16.662809,7.803944
1947,0.993467,40.144791,0.868276,29.089644,2.641938,1.817986,16.484505,7.959394
1948,0.986188,40.327894,0.871008,28.863134,2.726954,1.812912,16.301851,8.110059
