"Year","GDP-PPP","Emissions/GDP-PPP"
1,27.299797,0.435992
2,22.196898,0.221265
3,10.828030,0.282815
4,5.353944,0.184683
5,4.641024,0.128453
6,3.647641,0.497835
7,3.627154,0.202149
8,3.247924,0.093951
9,3.197555,0.085214
10,3.100424,0.156904
